"component_type","component_name","component_link","Airflow","Color","Connector","Controller","Flow_Direction","Inferred_","LED","Manufacturer","Noise_Level","PWM","Part_#_#","Quantity","RPM","Size","Static_Pressure"
"","GAMDIAS AEOLUS P2 74.97 CFM 120 mm","https://pcpartpicker.com/product/wGgrxr/gamdias-aeolus-p2-7497-cfm-120-mm-fans-3-pack-aeolus-p2-1203","74.97 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","GAMDIAS","","Yes","AEOLUS P2-1203","3-Pack","1000 - 2400 RPM","120 mm","3.1 mmH2O"
"","Lian Li UNI FAN SL V2 64.5 CFM 120 mm","https://pcpartpicker.com/product/K3KKHx/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fans-3-pack-sl120v2-3w","64.5 CFM","White / Silver","Proprietary PWM","5V Addressable RGB","Standard","","Addressable RGB","Lian Li","29.2 dB","Yes","SL120V2-3W; UF-SL120V2-3W; G99.12SLV23W.00; 12SLV2-3W","3-Pack","250 - 2000 RPM","120 mm","2.59 mmH2O"
"","Noctua NF-A12x25 PWM chromax.black.swap 60.09 CFM 120 mm","https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap","60.09 CFM","Black","4-pin PWM","","Standard","","","Noctua","22.6 dB","Yes","NF-A12x25 PWM chromax.black.swap; NF-A12X25 PWM CH.BK.S; NF-A12x25-PWM-CH-BK-S","1","450 - 2000 RPM","120 mm","2.34 mmH2O"
"","Cooler Master MasterFan MF Halo 47.2 CFM 120 mm","https://pcpartpicker.com/product/nVmFf7/cooler-master-masterfan-mf120-halo-472-cfm-120-mm-fan-mfl-b2dn-18npa-r1","47.2 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Cooler Master","6 - 30 dB","Yes","MFL-B2DN-18NPA-R1","1","650 - 1800 RPM","120 mm","1.6 mmH2O"
"","GAMDIAS AEOLUS P2 74.97 CFM 120 mm","https://pcpartpicker.com/product/wGgrxr/gamdias-aeolus-p2-7497-cfm-120-mm-fans-3-pack-aeolus-p2-1203","74.97 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","GAMDIAS","","Yes","AEOLUS P2-1203","3-Pack","1000 - 2400 RPM","120 mm","3.1 mmH2O"
"","Lian Li UNI FAN SL V2 64.5 CFM 120 mm","https://pcpartpicker.com/product/K3KKHx/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fans-3-pack-sl120v2-3w","64.5 CFM","White / Silver","Proprietary PWM","5V Addressable RGB","Standard","","Addressable RGB","Lian Li","29.2 dB","Yes","SL120V2-3W; UF-SL120V2-3W; G99.12SLV23W.00; 12SLV2-3W","3-Pack","250 - 2000 RPM","120 mm","2.59 mmH2O"
"","Noctua NF-A12x25 PWM chromax.black.swap 60.09 CFM 120 mm","https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap","60.09 CFM","Black","4-pin PWM","","Standard","","","Noctua","22.6 dB","Yes","NF-A12x25 PWM chromax.black.swap; NF-A12X25 PWM CH.BK.S; NF-A12x25-PWM-CH-BK-S","1","450 - 2000 RPM","120 mm","2.34 mmH2O"
"","NZXT F RGB Core 89.48 CFM 140 mm","https://pcpartpicker.com/product/kjHqqs/nzxt-f-rgb-core-8948-cfm-140-mm-fan-rf-c14sf-b1","24.85 - 89.48 CFM","Black","4-pin PWM + 4-pin 12V RGB","","Standard","","RGB","NZXT","20 - 32.5 dB","Yes","RF-C14SF-B1","1","500 - 1800 RPM","140 mm","3.39 mmH2O"
"","Lian Li UNI FAN SL V2 64.5 CFM 120 mm","https://pcpartpicker.com/product/gtcG3C/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fans-3-pack-sl120v2-3b","64.5 CFM","Black / Silver","Proprietary PWM","5V Addressable RGB","Standard","","Addressable RGB","Lian Li","29.2 dB","Yes","SL120V2-3B; UF-SL120V2-3B; G99.12SLV23B.00; 12SLV2-3B","3-Pack","250 - 2000 RPM","120 mm","2.59 mmH2O"
"","Thermalright TL-S12 X3 47.6 CFM 120 mm","https://pcpartpicker.com/product/4zkH99/thermalright-tl-s12-x3-476-cfm-120-mm-fans-3-pack-tl-s12-x3","47.6 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-S12 X3","3-Pack","1500 RPM","120 mm","1.31 mmH2O"
"","Thermalright TL-S12-S 47.6 CFM 120 mm","https://pcpartpicker.com/product/Yjqrxr/thermalright-tl-s12-s-476-cfm-120-mm-fan-tl-s12-s","47.6 CFM","Black","4-pin PWM","","Standard","","","Thermalright","23 - 23.2 dB","Yes","TL-S12-S","1","1500 RPM","120 mm","1.31 mmH2O"
"","Lian Li UNI FAN SL Wireless LCD 50.08 CFM 120 mm","https://pcpartpicker.com/product/MfYRsY/lian-li-uni-fan-sl-wireless-lcd-5008-cfm-120-mm-fans-3-pack-12sllcd1w3w","50.08 CFM","White","4-pin PWM","USB","Standard","","Addressable RGB","Lian Li","29.5 dB","Yes","12SLLCD1W3W; G99.12SLLCD1W3W.00","3-Pack","350 - 1900 RPM","120 mm","2.4 mmH2O"
"","Asus ROG STRIX XF 62.5 CFM 120 mm","https://pcpartpicker.com/product/L2stt6/asus-rog-strix-xf-120-625-cfm-120-mm-fan-rog-strix-xf-120","62.5 CFM","Black","4-pin PWM","","Standard","","","Asus","22.5 dB","Yes","ROG STRIX XF 120; 90DA0010-B08000","1","1800 RPM","120 mm",""
"","Thermalright TL-C12W-S V3 X3 66.17 CFM 120 mm","https://pcpartpicker.com/product/PbV2FT/thermalright-tl-c12w-s-v3-x3-6617-cfm-120-mm-fans-3-pack-tl-c12w-s-v3-x3","66.17 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12W-S V3 X3","3-Pack","1500 RPM","120 mm","1.53 mmH2O"
"","Lian Li UNI FAN SL V2 64.5 CFM 120 mm","https://pcpartpicker.com/product/gtcG3C/lian-li-uni-fan-sl-v2-645-cfm-120-mm-fans-3-pack-sl120v2-3b","64.5 CFM","Black / Silver","Proprietary PWM","5V Addressable RGB","Standard","","Addressable RGB","Lian Li","29.2 dB","Yes","SL120V2-3B; UF-SL120V2-3B; G99.12SLV23B.00; 12SLV2-3B","3-Pack","250 - 2000 RPM","120 mm","2.59 mmH2O"
"","Thermalright TL-C12W-S V3 X3 66.17 CFM 120 mm","https://pcpartpicker.com/product/PbV2FT/thermalright-tl-c12w-s-v3-x3-6617-cfm-120-mm-fans-3-pack-tl-c12w-s-v3-x3","66.17 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12W-S V3 X3","3-Pack","1500 RPM","120 mm","1.53 mmH2O"
"","be quiet! Pure Wings 3 59.6 CFM 120 mm","https://pcpartpicker.com/product/F3jRsY/be-quiet-pure-wings-3-596-cfm-120-mm-fan-bl106","59.6 CFM","Black","4-pin PWM","","Standard","","","be quiet!","30.9 dB","Yes","BL106","1","2100 RPM","120 mm","2.41 mmH2O"
"","be quiet! Pure Wings 2 26.3 CFM 80 mm","https://pcpartpicker.com/product/jgYWGX/be-quiet-pure-wings-2-263-cfm-80mm-fan-bl044","26.3 CFM","Black","3-pin","","Standard","","","be quiet!","18.2 dB","No","BL044","1","750 - 1900 RPM","80 mm","1.85 mmH2O"
"","Noctua NF-A12x25 PWM chromax.black.swap 60.09 CFM 120 mm","https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap","60.09 CFM","Black","4-pin PWM","","Standard","","","Noctua","22.6 dB","Yes","NF-A12x25 PWM chromax.black.swap; NF-A12X25 PWM CH.BK.S; NF-A12x25-PWM-CH-BK-S","1","450 - 2000 RPM","120 mm","2.34 mmH2O"
"","Fractal Design Venturi 83.4 CFM 120 mm","https://pcpartpicker.com/product/nyBTwP/fractal-design-fd-fan-vent-hf12-wt-834-cfm-120-mm-fan-fd-fan-vent-hf12-wt","65.8 - 83.4 CFM","White / Black","3-pin","","Standard","","","Fractal Design","19 - 25.3 dB","No","FD-FAN-VENT-HF12-WT","1","1100 - 1400 RPM","120 mm","1.22 mmH2O"
"","Thermalright TL-C12W-S V3 X3 66.17 CFM 120 mm","https://pcpartpicker.com/product/PbV2FT/thermalright-tl-c12w-s-v3-x3-6617-cfm-120-mm-fans-3-pack-tl-c12w-s-v3-x3","66.17 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12W-S V3 X3","3-Pack","1500 RPM","120 mm","1.53 mmH2O"
"","Lian Li Uni Fan SL-Infinity 63.6 CFM 120 mm","https://pcpartpicker.com/product/ZRgrxr/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1b","63.6 CFM","White / Black","4-pin PWM + 3-pin 5V Addressable RGB","","Reverse","","Addressable RGB","Lian Li","32 dB","Yes","RSLIN120-1B; UF-RSLIN120-1B; G99.12RSLIN1B.00","1","200 - 2100 RPM","120 mm","2.02 mmH2O"
