"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
"Case","Lian Li O11D EVO RGB ATX Mid Tower","https://pcpartpicker.com/product/Ksgrxr/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbw","White","478 mm x 290 mm x 471 mm; 18.819"" x 11.417"" x 18.543""","4 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","; ","Lian Li","455.7 mm / 17.941""","ATX; EATX; Micro ATX; Mini ITX","O11DERGBW; G99.O11DERGBW.00; PC-O11DERGBW","","No","Tempered Glass","ATX Mid Tower","65.29 L; 2.306 ft³",""
"","Deepcool CH160 Mini ITX Desktop","https://pcpartpicker.com/product/7g7scf/deepcool-ch160-mini-itx-desktop-case-r-ch160-bkngi0-g-1","Black","336 mm x 200 mm x 283.5 mm; 13.228"" x 7.874"" x 11.161""","1 x Internal 3.5""","3 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","; ","Deepcool","305 mm / 12.008""","Mini ITX","R-CH160-BKNGI0-G-1","","No","Tempered Glass","Mini ITX Desktop","19.051 L; 0.673 ft³",""
"","Lian Li O11 Vision ATX Mid Tower","https://pcpartpicker.com/product/Jk7scf/lian-li-o11-vision-atx-mid-tower-case-pc-o11vx","Black","480 mm x 304 mm x 464.5 mm; 18.898"" x 11.969"" x 18.287""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","455 mm / 17.913""","ATX; EATX; Micro ATX; Mini ITX","PC-O11VX; O11VX; G99.O11VX.00","","No","Tempered Glass","ATX Mid Tower","67.78 L; 2.394 ft³",""
"","Thermaltake View 170 ARGB MicroATX Mini Tower","https://pcpartpicker.com/product/VT88TW/thermaltake-view-170-argb-microatx-mini-tower-case-ca-1z4-00m1wn-00","Black","377 mm x 212 mm x 438 mm; 14.843"" x 8.346"" x 17.244""","2 x Internal 2.5""; 1 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Thermaltake","340 mm / 13.386""","Micro ATX; Mini ITX","CA-1Z4-00M1WN-00","","Yes","Tempered Glass","MicroATX Mini Tower","35.007 L; 1.236 ft³",""
"","SAMA AR01-RGB MicroATX Mini Tower","https://pcpartpicker.com/product/t8grxr/sama-ar01-rgb-microatx-mini-tower-case-ar01-rgb-bk","Black","462.28 mm x 223.52 mm x 447.04 mm; 18.2"" x 8.8"" x 17.6""","4 x Internal 2.5""; 2 x Internal 3.5""","5 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","SAMA","400 mm / 15.748""","Micro ATX; Mini ITX","AR01-RGB-BK","","Yes","Tempered Glass","MicroATX Mini Tower","46.192 L; 1.631 ft³",""
"","Phanteks XT PRO ATX Mid Tower","https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01","Black","450 mm x 230 mm x 500 mm; 17.717"" x 9.055"" x 19.685""","2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Phanteks","415 mm / 16.339""","ATX; EATX; Micro ATX; Mini ITX","PH-XT523P1-BK01","","Yes","Tempered Glass","ATX Mid Tower","51.75 L; 1.828 ft³",""
"","Lian Li O11D EVO RGB ATX Mid Tower","https://pcpartpicker.com/product/qrXV3C/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbx","Black","478 mm x 290 mm x 471 mm; 18.819"" x 11.417"" x 18.543""","4 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","455.7 mm / 17.941""","ATX; EATX; Micro ATX; Mini ITX","O11DERGBX; G99.O11DERGBX.00; O11DERGBX.US; PC-O11DERGBX","","No","Tempered Glass","ATX Mid Tower","65.29 L; 2.306 ft³",""
"","NZXT H7 Flow (2024) ATX Mid Tower","https://pcpartpicker.com/product/4yMMnQ/nzxt-h7-flow-2024-atx-mid-tower-case-cm-h72fb-01","Black","468 mm x 244 mm x 544 mm; 18.425"" x 9.606"" x 21.417""","2 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","410 mm / 16.142""","ATX; EATX; Micro ATX; Mini ITX","CM-H72FB-01","","Yes","Tempered Glass","ATX Mid Tower","62.12 L; 2.194 ft³",""
"","DIYPC ARGB-Q3 V2 MicroATX Mini Tower","https://pcpartpicker.com/product/3MsV3C/diypc-argb-q3-v2-microatx-mini-tower-case-argb-q3v2-bk","Black","385 mm x 275 mm x 365 mm; 15.157"" x 10.827"" x 14.37""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","DIYPC","360 mm / 14.173""","Micro ATX; Mini ITX","ARGB-Q3.V2-BK","","No","Tempered Glass","MicroATX Mini Tower","38.644 L; 1.365 ft³",""
"","DIYPC ARGB-Q3 V2 MicroATX Mini Tower","https://pcpartpicker.com/product/RhfxFT/diypc-argb-q3-v2-microatx-mini-tower-case-argb-q3v2-w","White","385 mm x 275 mm x 365 mm; 15.157"" x 10.827"" x 14.37""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","DIYPC","360 mm / 14.173""","Micro ATX; Mini ITX","ARGB-Q3.v2-W","","No","Tempered Glass","MicroATX Mini Tower","38.644 L; 1.365 ft³",""
"","Thermaltake The Tower 100 Mini ITX Tower","https://pcpartpicker.com/product/xy2WGX/thermaltake-the-tower-100-mini-itx-tower-case-ca-1r3-00sdwn-00","Gold","266 mm x 266 mm x 462.8 mm; 10.472"" x 10.472"" x 18.22""","2 x Internal 3.5""; 2 x Internal 2.5""","2 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Thermaltake","330 mm / 12.992""","Mini ITX","CA-1R3-00SDWN-00","","Yes","Tempered Glass","Mini ITX Tower","32.746 L; 1.156 ft³",""
"","Corsair 4000D Airflow ATX Mid Tower","https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww","Black","453 mm x 230 mm x 466 mm; 17.835"" x 9.055"" x 18.346""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","CC-9011200-WW","","Yes","Tinted Tempered Glass","ATX Mid Tower","48.553 L; 1.715 ft³",""
"","be quiet! Light Base 900 DX ATX Full Tower","https://pcpartpicker.com/product/z3Kscf/be-quiet-light-base-900-dx-atx-full-tower-case-bgw69","Black","532 mm x 327 mm x 484 mm; 20.945"" x 12.874"" x 19.055""","4 x Internal 2.5""; 1 x Internal 3.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","be quiet!","495 mm / 19.488""","ATX; EATX; Micro ATX; Mini ITX","BGW69","","No","Tempered Glass","ATX Full Tower","84.199 L; 2.973 ft³",""
"","Fractal Design Define 7 XL ATX Full Tower","https://pcpartpicker.com/product/dyLwrH/fractal-design-define-7-xl-atx-full-tower-case-fd-c-def7x-01","Black","604 mm x 240 mm x 566 mm; 23.78"" x 9.449"" x 22.283""","2 x External 5.25""; 6 x Internal 3.5""; 2 x Internal 2.5""","9 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Fractal Design","359 mm / 14.134"" With Drive Cages; 524 mm / 20.63"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX; SSI CEB; SSI EEB","FD-C-DEF7X-01","","Yes","","ATX Full Tower","82.047 L; 2.897 ft³",""
"","Corsair 5000D AIRFLOW ATX Mid Tower","https://pcpartpicker.com/product/PWn8TW/corsair-5000d-airflow-atx-mid-tower-case-cc-9011210-ww","Black","520 mm x 245 mm x 520 mm; 20.472"" x 9.646"" x 20.472""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","420 mm / 16.535""","ATX; EATX; Micro ATX; Mini ITX","CC-9011210-WW","","Yes","Tempered Glass","ATX Mid Tower","66.248 L; 2.34 ft³",""
"","Montech XR ATX Mid Tower","https://pcpartpicker.com/product/fc88TW/montech-xr-atx-mid-tower-case-xr-b","Black","435 mm x 230 mm x 450 mm; 17.126"" x 9.055"" x 17.717""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","420 mm / 16.535""","ATX; Micro ATX; Mini ITX","XR-B; XR (B)","","Yes","Tempered Glass","ATX Mid Tower","45.023 L; 1.59 ft³",""
"","Antec CX200M RGB ELITE ATX Mid Tower","https://pcpartpicker.com/product/J6tLrH/antec-cx200m-rgb-elite-atx-mid-tower-case-cx200m-rgb-elite","Black","350 mm x 210 mm x 392 mm; 13.78"" x 8.268"" x 15.433""","2 x Internal 3.5""; 1 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Antec","330 mm / 12.992""","Micro ATX; Mini ITX","CX200M RGB ELITE; 0-761345-10024-3","","Yes","Tempered Glass","ATX Mid Tower","28.812 L; 1.017 ft³",""
"","Antec C8 ATX Full Tower","https://pcpartpicker.com/product/yxdG3C/antec-c8-atx-mid-tower-case-c8","Black","464 mm x 303 mm x 476 mm; 18.268"" x 11.929"" x 18.74""","2 x Internal 3.5""; 4 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","440 mm / 17.323""","ATX; EATX; Micro ATX; Mini ITX","C8; 0-761345-10019-9","","No","Tempered Glass","ATX Full Tower","66.922 L; 2.363 ft³",""
"","Antec C5 ARGB ATX Mid Tower","https://pcpartpicker.com/product/MFNYcf/antec-c5-argb-atx-mid-tower-case-0-761345-10033-5","Black","","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","410 mm / 16.142""","ATX; Micro ATX; Mini ITX","0-761345-10033-5; C5 ARGB BLACK; C5 ARGB","","No","Tempered Glass","ATX Mid Tower","",""
"","Phanteks XT PRO ULTRA ATX Mid Tower","https://pcpartpicker.com/product/BXtLrH/phanteks-xt-pro-ultra-atx-mid-tower-case-ph-xt523p1-dbk01","Black","450 mm x 230 mm x 500 mm; 17.717"" x 9.055"" x 19.685""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Phanteks","415 mm / 16.339""","ATX; EATX; Micro ATX; Mini ITX","PH-XT523P1-DBK01","","Yes","Tempered Glass","ATX Mid Tower","51.75 L; 1.828 ft³",""
"","Antec C8 ATX Full Tower","https://pcpartpicker.com/product/dF9wrH/antec-c8-atx-mid-tower-case-c8-wh","White","464 mm x 303 mm x 476 mm; 18.268"" x 11.929"" x 18.74""","2 x Internal 3.5""; 4 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","440 mm / 17.323""","ATX; EATX; Micro ATX; Mini ITX","C8-WH; C8-White; 0-761345-10021-2","","No","Tempered Glass","ATX Full Tower","66.922 L; 2.363 ft³",""
"","Lian Li LANCOOL 216 RGB ATX Mid Tower","https://pcpartpicker.com/product/KKytt6/lian-li-lancool-216-rgb-atx-mid-tower-case-lancool-216rx","Black","480.9 mm x 235 mm x 491.7 mm; 18.933"" x 9.252"" x 19.358""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","392 mm / 15.433""","ATX; EATX; Micro ATX; Mini ITX","LANCOOL 216RX; G99.LAN216RX.00; PC-LAN216RX","","Yes","Tempered Glass","ATX Mid Tower","55.568 L; 1.962 ft³",""
"","Corsair iCUE 465X RGB ATX Mid Tower","https://pcpartpicker.com/product/K6848d/corsair-icue-465x-rgb-atx-mid-tower-case-cc-9011188-ww","Black","","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Corsair","370 mm / 14.567""","ATX; Micro ATX; Mini ITX","CC-9011188-WW","","Yes","Tempered Glass","ATX Mid Tower","",""
"","Lian Li Lancool 207 ATX Mid Tower","https://pcpartpicker.com/product/zysV3C/lian-li-lancool-207-atx-mid-tower-case-lan207rx","Blue","455.6 mm x 219 mm x 456 mm; 17.937"" x 8.622"" x 17.953""","2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","375 mm / 14.764""","ATX; Micro ATX; Mini ITX","LAN207RX; PC-LAN207RX; LANCOOL 207 BLACK; G99.LAN207RX.00; LANCOOL 207RX","","Yes","Tempered Glass","ATX Mid Tower","45.498 L; 1.607 ft³",""
"","Corsair 2500X MicroATX Mini Tower","https://pcpartpicker.com/product/RbQKHx/corsair-2500x-microatx-mini-tower-case-cc-9011265-ww","Black","479 mm x 304 mm x 376 mm; 18.858"" x 11.969"" x 14.803""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height; 4 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","400 mm / 15.748""","Micro ATX; Mini ITX","CC-9011265-WW","","No","Tempered Glass","MicroATX Mini Tower","54.752 L; 1.934 ft³",""
"","Rosewill SPECTRA X ATX Mid Tower","https://pcpartpicker.com/product/VhPgXL/rosewill-spectra-x-atx-mid-tower-case-spectra-x","Black","","5 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Rosewill","330 mm / 12.992""","ATX; Micro ATX; Mini ITX","SPECTRA X","","Yes","Tempered Glass","ATX Mid Tower","",""
"","ABKONCORE C750 ATX Mid Tower","https://pcpartpicker.com/product/yqmmP6/abkoncore-c750-atx-mid-tower-case-c750","Black","360 mm x 205 mm x 437 mm; 14.173"" x 8.071"" x 17.205""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","ABKONCORE","330 mm / 12.992""","ATX; Micro ATX; Mini ITX","C750","","Yes","Tempered Glass","ATX Mid Tower","32.251 L; 1.139 ft³",""
"","NZXT H9 Flow ATX Mid Tower","https://pcpartpicker.com/product/7ZBG3C/nzxt-h9-flow-atx-mid-tower-case-cm-h91fw-01","White","466 mm x 290 mm x 495 mm; 18.346"" x 11.417"" x 19.488""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","435 mm / 17.126""","ATX; Micro ATX; Mini ITX","CM-H91FW-01","","Yes","Tempered Glass","ATX Mid Tower","66.894 L; 2.362 ft³",""
"","NZXT H6 Flow ATX Mid Tower","https://pcpartpicker.com/product/xgKscf/nzxt-h6-flow-atx-mid-tower-case-cc-h61fb-01","Black","415 mm x 287 mm x 435 mm; 16.339"" x 11.299"" x 17.126""","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","365 mm / 14.37""","ATX; Micro ATX; Mini ITX","CC-H61FB-01","","Yes","Tempered Glass","ATX Mid Tower","51.811 L; 1.83 ft³",""
"","Lian Li Lancool 207 ATX Mid Tower","https://pcpartpicker.com/product/zysV3C/lian-li-lancool-207-atx-mid-tower-case-lan207rx","Blue","455.6 mm x 219 mm x 456 mm; 17.937"" x 8.622"" x 17.953""","2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","375 mm / 14.764""","ATX; Micro ATX; Mini ITX","LAN207RX; PC-LAN207RX; LANCOOL 207 BLACK; G99.LAN207RX.00; LANCOOL 207RX","","Yes","Tempered Glass","ATX Mid Tower","45.498 L; 1.607 ft³",""
"","Deepcool CH560 ATX Mid Tower","https://pcpartpicker.com/product/RPgrxr/deepcool-ch560-atx-mid-tower-case-r-ch560-bkape4-g-1","Black","458 mm x 230 mm x 471 mm; 18.031"" x 9.055"" x 18.543""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Deepcool","380 mm / 14.961""","ATX; EATX; Micro ATX; Mini ITX","R-CH560-BKAPE4-G-1; CH560","","Yes","Tempered Glass","ATX Mid Tower","49.615 L; 1.752 ft³",""
"","NZXT H5 Flow RGB (2023) ATX Mid Tower","https://pcpartpicker.com/product/fcqrxr/nzxt-h5-flow-rgb-atx-mid-tower-case-cc-h51fw-r1","White","446 mm x 227 mm x 464 mm; 17.559"" x 8.937"" x 18.268""","1 x Internal 3.5""; 1 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","365 mm / 14.37""","ATX; Micro ATX; Mini ITX","CC-H51FW-R1","","Yes","Tempered Glass","ATX Mid Tower","46.976 L; 1.659 ft³",""
"","NZXT H6 Flow ATX Mid Tower","https://pcpartpicker.com/product/xgKscf/nzxt-h6-flow-atx-mid-tower-case-cc-h61fb-01","Black","415 mm x 287 mm x 435 mm; 16.339"" x 11.299"" x 17.126""","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","365 mm / 14.37""","ATX; Micro ATX; Mini ITX","CC-H61FB-01","","Yes","Tempered Glass","ATX Mid Tower","51.811 L; 1.83 ft³",""
"","Cooler Master HAF 932 ATX Full Tower","https://pcpartpicker.com/product/sxMFf7/cooler-master-case-rc932kkn1gp","Black","560 mm x 243 mm x 564 mm; 22.047"" x 9.567"" x 22.205""","6 x External 5.25""; 5 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Cooler Master","322 mm / 12.677""","ATX; EATX; Micro ATX; Mini ITX","RC-932-KKN1-GP","","No","Acrylic","ATX Full Tower","76.749 L; 2.71 ft³",""
"","Corsair iCUE 220T RGB ATX Mid Tower","https://pcpartpicker.com/product/tX2bt6/corsair-icue-220t-rgb-atx-mid-tower-case-cc-9011190-ww","Black","395 mm x 210 mm x 450 mm; 15.551"" x 8.268"" x 17.717""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Corsair","300 mm / 11.811""","ATX; Micro ATX; Mini ITX","CC-9011190-WW","","Yes","Tempered Glass","ATX Mid Tower","37.328 L; 1.318 ft³",""
"","be quiet! Pure Base 500 ATX Mid Tower","https://pcpartpicker.com/product/XCLwrH/be-quiet-pure-base-500-atx-mid-tower-case-bg034","Black","450 mm x 231 mm x 443 mm; 17.717"" x 9.094"" x 17.441""","2 x Internal 3.5""; 5 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","be quiet!","369 mm / 14.528"" With Drive Cages; 369 mm / 14.528"" Without Drive Cages","ATX; Micro ATX; Mini ITX","BG034","","No","","ATX Mid Tower","46.05 L; 1.626 ft³",""
"","NZXT H510 ATX Mid Tower","https://pcpartpicker.com/product/6Cyqqs/nzxt-h510-atx-mid-tower-case-ca-h510b-w1","White","428 mm x 210 mm x 460 mm; 16.85"" x 8.268"" x 18.11""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","381 mm / 15"" With Drive Cages; 381 mm / 15"" Without Drive Cages","ATX; Micro ATX; Mini ITX","CA-H510B-W1","","Yes","Tempered Glass","ATX Mid Tower","41.345 L; 1.46 ft³",""
"","be quiet! Pure Base 500DX ATX Mid Tower","https://pcpartpicker.com/product/FCK2FT/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw37","Black","450 mm x 232 mm x 463 mm; 17.717"" x 9.134"" x 18.228""","2 x Internal 3.5""; 5 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","be quiet!","369 mm / 14.528""","ATX; Micro ATX; Mini ITX","BGW37","","Yes","Tempered Glass","ATX Mid Tower","48.337 L; 1.707 ft³",""
"","NZXT H7 Elite (2022) ATX Mid Tower","https://pcpartpicker.com/product/XNmmP6/nzxt-h7-elite-atx-mid-tower-case-cm-h71eb-01","","480 mm x 230 mm x 505 mm; 18.898"" x 9.055"" x 19.882""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","400 mm / 15.748""","ATX; EATX; Micro ATX","CM-H71EB-01","","Yes","Tempered Glass","ATX Mid Tower","55.752 L; 1.969 ft³",""
"","Corsair 4000D Airflow ATX Mid Tower","https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww","Black","453 mm x 230 mm x 466 mm; 17.835"" x 9.055"" x 18.346""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","CC-9011200-WW","","Yes","Tinted Tempered Glass","ATX Mid Tower","48.553 L; 1.715 ft³",""
"","Lian Li O11 Dynamic EVO ATX Mid Tower","https://pcpartpicker.com/product/4cPQzy/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dew","White / Gray","465 mm x 285 mm x 459 mm; 18.307"" x 11.22"" x 18.071""","6 x Internal 3.5""; 3 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","422 mm / 16.614""","ATX; EATX; Micro ATX; Mini ITX","PC-O11DEW; O11DEW","","Yes","Tempered Glass","ATX Mid Tower","60.829 L; 2.148 ft³",""
"","Corsair 4000D Airflow ATX Mid Tower","https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww","Black","453 mm x 230 mm x 466 mm; 17.835"" x 9.055"" x 18.346""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","CC-9011200-WW","","Yes","Tinted Tempered Glass","ATX Mid Tower","48.553 L; 1.715 ft³",""
"","Thermaltake Ceres 300 TG ARGB ATX Mid Tower","https://pcpartpicker.com/product/2Crqqs/thermaltake-ceres-300-tg-argb-atx-mid-tower-case-ca-1y2-00m1wn-00","Black","463 mm x 245 mm x 475 mm; 18.228"" x 9.646"" x 18.701""","1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Thermaltake","370 mm / 14.567""","ATX; EATX; Micro ATX; Mini ITX","CA-1Y2-00M1WN-00","","Yes","Tempered Glass","ATX Mid Tower","53.882 L; 1.903 ft³",""
"","Lian Li A3-mATX MicroATX Mini Tower","https://pcpartpicker.com/product/CjFmP6/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-x","Black","443 mm x 194 mm x 306 mm; 17.441"" x 7.638"" x 12.047""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","415 mm / 16.339""","Micro ATX; Mini ITX","A3-mATX-X; A3X.US; A3- mATX Black; PC-A3X; G99.A3X.00","","No","Mesh","MicroATX Mini Tower","26.298 L; 0.929 ft³",""
"","NZXT H7 Elite (2023) ATX Mid Tower","https://pcpartpicker.com/product/nhgrxr/nzxt-h7-elite-2023-atx-mid-tower-case-cm-h71eb-02","Black","480 mm x 230 mm x 505 mm; 18.898"" x 9.055"" x 19.882""","4 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","400 mm / 15.748""","ATX; Micro ATX; Mini ITX","CM-H71EB-02","","Yes","Tempered Glass","ATX Mid Tower","55.752 L; 1.969 ft³",""
"","Fractal Design Pop Air ATX Mid Tower","https://pcpartpicker.com/product/QnD7YJ/fractal-design-pop-air-atx-mid-tower-case-fd-c-poa1a-02","Black","473.5 mm x 215 mm x 454 mm; 18.642"" x 8.465"" x 17.874""","2 x External 5.25""; 2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Fractal Design","405 mm / 15.945""","ATX; Micro ATX; Mini ITX","FD-C-POA1A-02","","Yes","Tempered Glass","ATX Mid Tower","46.218 L; 1.632 ft³",""
"","Lian Li Lancool 207 ATX Mid Tower","https://pcpartpicker.com/product/zysV3C/lian-li-lancool-207-atx-mid-tower-case-lan207rx","Blue","455.6 mm x 219 mm x 456 mm; 17.937"" x 8.622"" x 17.953""","2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","375 mm / 14.764""","ATX; Micro ATX; Mini ITX","LAN207RX; PC-LAN207RX; LANCOOL 207 BLACK; G99.LAN207RX.00; LANCOOL 207RX","","Yes","Tempered Glass","ATX Mid Tower","45.498 L; 1.607 ft³",""
"","Montech AIR 903 MAX ATX Mid Tower","https://pcpartpicker.com/product/2MwmP6/montech-air-903-max-atx-mid-tower-case-air-903-max-b","Black","478 mm x 230 mm x 493 mm; 18.819"" x 9.055"" x 19.409""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","AIR 903 MAX (B); AIR 903 MAX B; AIR 903 MAX BLACK","","Yes","Tempered Glass","ATX Mid Tower","54.2 L; 1.914 ft³",""
"","Fractal Design North XL ATX Full Tower","https://pcpartpicker.com/product/wCWJ7P/fractal-design-north-xl-atx-full-tower-case-fd-c-nor1x-04","White","503 mm x 240 mm x 509 mm; 19.803"" x 9.449"" x 20.039""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","380 mm / 14.961"" With Drive Cages; 413 mm / 16.26"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX","FD-C-NOR1X-04","","Yes","Tempered Glass","ATX Full Tower","61.446 L; 2.17 ft³",""
