"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
,KOLINK Citadel Mesh MicroATX Mini Tower,https://pcpartpicker.com/product/NMC48d/kolink-citadel-mesh-microatx-mini-tower-case-citadel-mesh,Black,"400 mm x 230 mm x 375 mm; 15.748"" x 9.055"" x 14.764""","2 x Internal 3.5""; 3 x Internal 2.5""",4 x Full-Height,USB 3.2 Gen 1 Type-A; USB 2.0 Type-A,,KOLINK,"345 mm / 13.583""",Micro ATX; Mini ITX,Citadel Mesh,None,Yes,Tempered Glass,MicroATX Mini Tower,34.5 L; 1.218 ft³,
,HYTE Y60 Snow White ATX Mid Tower,https://pcpartpicker.com/product/3JfxFT/hyte-y60-snow-white-atx-mid-tower-case-cs-hyte-y60-ww,White,"535 mm x 372 mm x 540 mm; 21.063"" x 14.646"" x 21.26""","2 x Internal 3.5""",6 x Half-Height; 3 x Full-Height via Riser,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,HYTE,"375 mm / 14.764""",ATX; EATX; Micro ATX; Mini ITX,CS-HYTE-Y60-WW,None,Yes,Tempered Glass,ATX Mid Tower,107.471 L; 3.795 ft³,Y60 Snow White
,Cooler Master HAF 700 ATX Full Tower,https://pcpartpicker.com/product/nBM48d/cooler-master-haf-700-atx-full-tower-case-h700-ignn-s00,Black,"555 mm x 279 mm x 540 mm; 21.85"" x 10.984"" x 21.26""","9 x Internal 3.5""",8 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Cooler Master,"490 mm / 19.291""",ATX; EATX; Micro ATX; Mini ITX; SSI CEB; SSI EEB,H700-IGNN-S00,None,Yes,Tempered Glass,ATX Full Tower,83.616 L; 2.953 ft³,
,Fractal Design Meshify C ATX Mid Tower,https://pcpartpicker.com/product/nL7v6h/fractal-design-meshify-c-tg-atx-mid-tower-case-fd-ca-mesh-c-bko-tgl,Black,"413 mm x 217 mm x 453 mm; 16.26"" x 8.543"" x 17.835""","2 x Internal 3.5""; 3 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A,,Fractal Design,"315 mm / 12.402""",ATX; Micro ATX; Mini ITX,FD-CA-MESH-C-BKO-TGL,None,Yes,Tempered Glass,ATX Mid Tower,40.598 L; 1.434 ft³,
,MagniumGear NEO QUBE 2 ATX Mid Tower,https://pcpartpicker.com/product/yfNxFT/magniumgear-neo-qube-2-atx-mid-tower-case-mg-ne620q_dbk02,Black,"460 mm x 270 mm x 450 mm; 18.11"" x 10.63"" x 17.717""","2 x Internal 3.5""; 5 x Internal 2.5""",8 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,MagniumGear,"410 mm / 16.142""",ATX; EATX; Micro ATX; Mini ITX,MG-NE620Q_DBK02,None,Yes,Tempered Glass,ATX Mid Tower,55.89 L; 1.974 ft³,
,Cooler Master CMP 510 ATX Mid Tower,https://pcpartpicker.com/product/zkbTwP/cooler-master-cmp-510-atx-mid-tower-case-cp510-kgnn-s02,Black,"445 mm x 204 mm x 463 mm; 17.52"" x 8.031"" x 18.228""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A; USB 2.0 Type-A,,Cooler Master,"350 mm / 13.78""",ATX; Micro ATX; Mini ITX,CP510-KGNN-S02,None,Yes,Tempered Glass,ATX Mid Tower,42.031 L; 1.484 ft³,
,NZXT Phantom 630 ATX Full Tower,https://pcpartpicker.com/product/TWW9TW/nzxt-case-cap630ww1,White,"599 mm x 245 mm x 627 mm; 23.583"" x 9.646"" x 24.685""","4 x External 5.25""; 6 x Internal 3.5""; 2 x Internal 2.5""",9 x Full-Height,USB 3.2 Gen 1 Type-A; USB 2.0 Type-A,,NZXT,"325 mm / 12.795"" With Drive Cages; 507 mm / 19.961"" Without Drive Cages",ATX; EATX; Micro ATX; Mini ITX; XL ATX,CA-P630W-W1; CA-PH630W-W1,None,No,Acrylic,ATX Full Tower,92.015 L; 3.249 ft³,
,Phanteks Eclipse P400A ATX Mid Tower,https://pcpartpicker.com/product/3RJmP6/phanteks-eclipse-p400a-atx-mid-tower-case-ph-ec400atg_bk,Black,"470 mm x 210 mm x 465 mm; 18.504"" x 8.268"" x 18.307""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A,,Phanteks,"280 mm / 11.024"" With Drive Cages; 420 mm / 16.535"" Without Drive Cages",ATX; EATX; Micro ATX; Mini ITX,PH-EC400ATG_BK; PH-EC400ATG_BK01,None,Yes,Tempered Glass,ATX Mid Tower,45.895 L; 1.621 ft³,
,Cooler Master HAF 700 EVO ATX Full Tower,https://pcpartpicker.com/product/FCPQzy/cooler-master-haf-700-evo-atx-full-tower-case-h700e-ignn-s00,Gray / Black,,"12 x Internal 3.5""",8 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Cooler Master,"490 mm / 19.291""",ATX; EATX; Micro ATX; Mini ITX; SSI CEB; SSI EEB,H700E-IGNN-S00,None,Yes,Tempered Glass,ATX Full Tower,,
,Fractal Design Meshify 2 Compact TG Light Tint ATX Mid Tower,https://pcpartpicker.com/product/mgwypg/fractal-design-meshify-2-compact-tg-light-tint-atx-mid-tower-case-fd-c-mes2c-03,Black,"424 mm x 210 mm x 475 mm; 16.693"" x 8.268"" x 18.701""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Fractal Design,"341 mm / 13.425"" With Drive Cages; 360 mm / 14.173"" Without Drive Cages",ATX; Micro ATX; Mini ITX,FD-C-MES2C-03,None,Yes,Tempered Glass,ATX Mid Tower,42.294 L; 1.494 ft³,Meshify 2 Compact TG Light Tint
