"component_type","component_name","component_link","Manufacturer","Part_#_#"
"","Elegoo EL-CP-004 120pcs Multicolored Dupont Wire 40pin Male to Female, 40pin Male to Male, 40pin Female to Female Breadboard Jumper Wires Ribbon Cables Kit for arduino","https://pcpartpicker.com/product/8CWfrH/elegoo-el-cp-004-120pcs-multicolored-dupont-wire-40pin-male-to-female-40pin-male-to-male-40pin-female-to-female-breadboard-jumper-wires-ribbon-cables-kit-for-arduino","Elegoo","EL-CP-004"
"","LINKUP - Internal 9pin USB 2.0 to USB 3.0 Converter for Motherboard USB2 9Pin Header Convert to USB3 20Pin Male Adapter (ADP U2F-U3M-IDC)","https://pcpartpicker.com/product/vjgQzy/placeholder-","LINKUP Technology Inc.","B084D58HBP"
"","Blue Microphones Yeti USB Microphone - Blackout Edition","https://pcpartpicker.com/product/B4M323/blue-microphones-yeti-usb-microphone-blackout-edition","Blue Microphones","2070"
"","Noctua NM-AM5/4-MP83 SecuFirm2 Mounting-Kit for AMD AM5 & AM4","https://pcpartpicker.com/product/k3qPxr/placeholder","Noctua","NM-AM5/4-MP83"
"","Sabrent 4-Port USB 3.0 Hub with Individual Power Switches and LEDs (HB-UM43)","https://pcpartpicker.com/product/rTYWGX/sabrent-4-port-usb-30-hub-with-individual-power-switches-and-leds-hb-um43","Sabrent","HB-UM43"
"","ASUS TUF Gaming 24' (23.6' viewable) Curved Monitor (VG24VQER) -...","https://pcpartpicker.com/product/sm4Zxr/placeholder","ASUS","90LM0AF0-B011B0"
"","Lian Li Strimer Plus V2 8-Pin RGB VGA-Kabel","https://pcpartpicker.com/product/FtTp99/placeholder","LIAN LI","ZUAD-1271"
"","Lian Li GB-002 Anti Sag Bracket for VGA Cards","https://pcpartpicker.com/product/KFhFf7/placeholder","Lian Li","GB-002X"
"","uphere 3-pack Long Life Computer Case Fan 120mm Cooling Case Fan for Computer Cases Cooling","https://pcpartpicker.com/product/6G7CmG/uphere-3-pack-long-life-computer-case-fan-120mm-cooling-case-fan-for-computer-cases-cooling","uphere","uphere 3pack case fan"
"","DoubleW Typewriter Style Mechanical Gaming Keyboard with True RGB Backlit, Detachable Wrist Rest, 108-Key Anti-Ghosting Blue Switch Retro Steampunk Vintage Round Keycaps, Black","https://pcpartpicker.com/product/Y2fFf7/placeholder-","DoubleW","B07XVCP7F5"
"","Samsung 64GB FIT Plus USB 3.1 Flash Drive, Speed Up to 200MB/s","https://pcpartpicker.com/product/qK97YJ/samsung-64gb-fit-plus-usb-31-flash-drive-speed-up-to-200mbs","SAMSUNG","MUF-64AB/AM"
"","Microsoft Xbox Wireless Controller Robot White - Wireless & Bluetooth Connectivity - New Hybrid D-pad - New Share Button - Featuring Textured Grip - Easily Pair & Switch Between Devices","https://pcpartpicker.com/product/mrn9TW/placeholder","Microsoft","QAS-00007"
"","Thermal Grizzly KryoSheet (33 x 33 x 0,2 mm)","https://pcpartpicker.com/product/kH3NnQ/placeholder","Thermal Grizzly","TG-KS-24-12"
"","Sama Neview 2351 Black Dual USB3.0 and Type C Tempered Glass ATX...","https://pcpartpicker.com/product/dhJp99/placeholder","SAMA (Case & Power Supply)","Neview 2351 Black"
"","12VHPWR 90 Degree Adapter for Corsair: PCIE 5.0 16AWG 600W 12VHPWR Adapter Dual 8 Pin PCIe to 16 Pin 12+4 Pin for RTX 4090 4080 3090TI 4070Ti Graphics Card GPU, ONLY for Corsair Power Supply","https://pcpartpicker.com/product/ktQKHx/placeholder","JOYJOM","Type B for Corsair Power Supply"
"","Western Digital 1TB P40 Game Drive SSD - Up to 2,000MB/s, RGB Lighting, Portable External Solid State Drive , Compatible with Playstation, Xbox, PC, & Mac - WDBAWY0010BBK-WESN","https://pcpartpicker.com/product/KkmNnQ/placeholder","Western Digital Technologies, Inc.","WDBAWY0010BBK-WESN"
"","Pccooler 120mm Fan 3-Pack Moonlight series, PC-3M120 RGB LED Computer Case Fan - PWM PC Cooling Fan - Dual Light Loop Quiet Fan/Multiple Light Modes with Controller for PC Cases, CPU Coolers","https://pcpartpicker.com/product/tkrmP6/pccooler-120mm-fan-3-pack-moonlight-series-pc-3m120-rgb-led-computer-case-fan-pwm-pc-cooling-fan-dual-light-loop-quiet-fanmultiple-light-modes-with-controller-for-pc-cases-cpu-coolers","Pccooler","PC-3M120"
"","NZXT Puck - Cable Management and Headset-Mounting Solution","https://pcpartpicker.com/product/kTTrxr/nzxt-puck-cable-management-and-headset-mounting-solution","NZXT - US PC","BA-PCKRT-RD"
"","Mount-It! Dual Monitor Desk Stand Mount for LCD LED Computer Displays Two Articulating Arms Clamp Desk Installation Fits up to 27 Inch Screens Heavy-Duty 35 Lb Capacity VESA 75 and 100","https://pcpartpicker.com/product/2kWrxr/mount-it-dual-monitor-desk-stand-mount-for-lcd-led-computer-displays-two-articulating-arms-clamp-desk-installation-fits-up-to-27-inch-screens-heavy-duty-35-lb-capacity-vesa-75-and-100","Mount-It!","MI-2752"
"","LINKUP - Ultra PCIe 4.0 X16 Riser Cable [RTX3090 x570 B550 RX6900XT Tested] Shielded High-Speed Vertical Mount Gaming PCI Express Gen4┃Universal 90 Degree Socket {15cm} 3.0 Gen3 Compatible┃Wh","https://pcpartpicker.com/product/7cbTwP/placeholder-","LINKUP Technology Inc.","PCIE4EXT11SR-015-WH"
"","Samsung LU32J590UQPXXU UJ590 32"" 4K UHD Monitor - Ultra HD 3840 x 2160, HDMI, Displayport, Freesync","https://pcpartpicker.com/product/296NnQ/placeholder","Samsung","LU32J590UQPXXU"
"","Corsair Gaming MM300 Anti-Fray Cloth Gaming Mouse Pad, Medium","https://pcpartpicker.com/product/Nh7CmG/corsair-gaming-mm300-anti-fray-cloth-gaming-mouse-pad-medium","Corsair","CH-9000106-WW"
"","KingBank Computer Desktop Memory Ram DDR4 16GB(2x8GB) 2666MHZ CL19 1.2V with Heatsink for PC Gaming/Office/PS,Silver","https://pcpartpicker.com/product/ycqNnQ/placeholder","KingBank","B0DF7L2SK6"
"","AsiaHorse 18AWG PSU Cable Extension Sleeved Custom Mod GPU PC Audio Video Power Supply Soft Braided Cables with Two Color Comb Kit 24P/8P to 6+2P/ 8P to 4+4P 30CM","https://pcpartpicker.com/product/KcHqqs/placeholder","AsiaHorse","Snow-White-4KIT-CA"
"","PhaseByte Extended Gaming Mouse Pad - Non-Slip Gaming Mouse Mat with Stitched Edges - Smooth Micro-Fiber Computer Desk Mat Pad - Hand Washable Gaming Mousepad - 900x400x4mm - Hidden Peak","https://pcpartpicker.com/product/msRYcf/placeholder","PhaseByte","B0B4Q1HYYM"
"","Lian Li Strimer Plus V2 24-Pin RGB Mainboardkabel","https://pcpartpicker.com/product/QVzhP6/placeholder","LIAN LI","STRIMER PULS 24 V2"
"","Sleeved Cables PSU Extension Cable Kit with 30CM Sleeved 24-PIN 8-PIN 6-PIN 4+4-PIN for ATX Power Supply","https://pcpartpicker.com/product/P7PgXL/sleeved-cables-psu-extension-cable-kit-with-30cm-sleeved-24-pin-8-pin-6-pin-44-pin-for-atx-power-supply","MC Dream","B07STLCL6T"
"","ICOLER UNI Fan JM-V2 120 Infinity Mirror Module Daisy-Chain ARGB PWM Case Fan 120mm Reverse Fan Triple Pack Suitable for Computer Case & 360mm AIO Cooler","https://pcpartpicker.com/product/9KV2FT/placeholder","ICOLER","JM V2-3IN1 BK Reverse fan"
"","152 pcs Cord Management Organizer Kit 4 Cable Sleeve split with 41Self Adhesive Cable Clips Holder, 10pcs and 2 Roll Self Adhesive tie and 100 Fastening Cable Ties for TV Office Home Electron","https://pcpartpicker.com/product/ydGbt6/placeholder-","N NOROCME","B09478CKG2"
"","MOUNT PRO Dual Monitor Wall Mount Bracket - Height Adjustable Full Motion Articulating Gas Spring Monitor Arm Stand- Fits 13 to 32 Inch LCD Computer Screens,Holds up to 17.6lbs,VESA 75x75, 10","https://pcpartpicker.com/product/TBzhP6/placeholder-","MOUNT PRO","PR7002"
"","Fractal Design Flex 2 PCIe 4.0 x16 Black Vertical GPU Riser with...","https://pcpartpicker.com/product/bw3NnQ/placeholder","Fractal Design","FD-A-FLX2-001"
"","Thermalright TL-M12W-S 120mm ARGB CPU Fan, with 1500RPM Speed, White Computer Case Fan, Quiet 4pin PWM PC Fan, for S-FDB Bearing CPU Cooler Fan,with Side Mirror ARGB Lighting Effect","https://pcpartpicker.com/product/ZqMMnQ/placeholder","Thermalright","TL-M12W-S"
"","OwlTree 2 Pack Motherboard 9 Pin USB 2.0 to Dual 9 Pin Extension Splitter, Motherboard USB Splitter 9 Pin Header Cable, USB2.0 Header Splitter for Internal Computer Motherboard (Braided White","https://pcpartpicker.com/product/zcpQzy/placeholder","OWltree","B0CZRRX8XZ"
"","Logitech Powerplay Wireless Charging Gaming Mouse Pad (for Logitech G903 and G703)","https://pcpartpicker.com/product/yXDzK8/logitech-powerplay-wireless-charging-gaming-mouse-pad-for-logitech-g903-and-g703","Logitech","943-000110"
"","Phanteks Premium GEN4 Vertical GPU Bracket, DRGB Lighting,...","https://pcpartpicker.com/product/NkzXsY/placeholder","Phanteks","PH-PGPUKT4.0_DWT01"
"","HyperX Pudding Keycaps - Full Key Set - PBT - English (US) Layout - 104 Key, Backlit, OEM Profile, 2 Year Warranty - White","https://pcpartpicker.com/product/7wXYcf/placeholder-","HyperX","HKCPXP-WT-US/G"
"","SteelSeries QcK Mini Gaming Mouse Pad (Black)","https://pcpartpicker.com/product/bZcMnQ/steelseries-qck-mini-gaming-mouse-pad-black","SteelSeries","63005"
"","BCM94360NG 802.11AC 1200M NGFF M.2 2230 wifi card for mac OS BCM94360CS Wireless Card original M.2 card for macOS Plug and Play for AirDrop Continuity Handoff Better BCM94352Z DW1560 for Inte","https://pcpartpicker.com/product/D9pmP6/placeholder-","REKONG","B0861T79QY"
"","WOWNOVA 8.8"" Computer Temp Monitor (Dynamic Theme Supported), 1 Click 1 Cable to Get Started Quickly PC Temperature Display Sensor Panel IPS Mini Secondary Screen CPU RAM HDD Data FPS Monitor","https://pcpartpicker.com/product/KNsV3C/placeholder","WOWNOVA","B0CBNCVVN5"
"","AsiaHorse Power Supply Sleeved Cable, 16 AWG PSU Extension Cable Kit of White Connector, 1x24Pin/2x4+4 EPS/3x6+2 PCI-E, 30cm Length with Combs-White and Bule","https://pcpartpicker.com/product/t8D7YJ/placeholder","AsiaHorse","B0B56MB4VF"
"","NZXT RGB & Fan Controller - AC-CRFR0-B1-6 RGB Lighting Channels - 3 Fan Channels - RGB Lighting Customization - Black","https://pcpartpicker.com/product/wkBG3C/placeholder","NZXT","AC-CRFR0-B1"
"","Corsair Internal 4-Port USB 2.0 Hub - 4X 9-Pin USB 2.0 Ports - Easy Magnetic Installation - Compatible with Most Intel® and AMD® Motherboards - Black","https://pcpartpicker.com/product/HVddnQ/placeholder","Corsair","CC-9310002-WW"
"","Thermalright CPU Contact Frame Anti-Bending Buckle for AM5 Secure Frame Kit Red","https://pcpartpicker.com/product/GTWJ7P/placeholder","Thermalright","AM5-Secure-Frame-RED"
"","Razer Chroma Addressable RGB Controller: Universal Compatibility - 6 Addressable RGB Headers - Powered by Razer Chroma RGB - Supported by Razer Synapse 3 - SSD Mounting Points","https://pcpartpicker.com/product/dyGnTW/placeholder-","Razer Inc.","RZ34-02140600-R3M1"
"","Zowie Gear Large Gaming Mouse Pad (G-SR)","https://pcpartpicker.com/product/v6Brxr/zowie-gear-large-gaming-mouse-pad-g-sr","Zowie Gear","G-SR"
"","COOCAT CC-05 Custom Mod Sleeved PSU Cable, White Braided 18AWG ATX EPS PCI-E Extension Cable Kit with Combs for CPU GPU Modular Power Supply Unit, 30CM (Red_Black)","https://pcpartpicker.com/product/3pZzK8/placeholder-","COOCAT","CC-NSC"
"","TeckNet 2.4G Nano Wireless Mouse, 5 Buttons (M002)","https://pcpartpicker.com/product/tJmxFT/tecknet-24g-nano-wireless-mouse-5-buttons-m002","TeckNet","817888"
"","Gloway DDR4 Ram 32GB (2x16GB) 3200MHz(PC4-25600) CL18 1.35V 288-Pin DDR4 UDIMM Aluminum Desktop Computer Memory Kit- White","https://pcpartpicker.com/product/pHwypg/placeholder","GLOWAY","B099JHLHTL"
"","JONSBO JONSPLUS Z20 Black Micro-ATX Mini Tower PC Case,with Detachable Carrying Handle, Mini Size, High-Performance Hardware Compatible, Support 240AIO, H160mm Cooler, Black","https://pcpartpicker.com/product/fNKscf/placeholder","Jonsbo","B0CWQK3LMB"
"","Thermalright ASF-RED AM5 CPU Holder, Corrective Anti-Bending Fixing Frame, AM5 Full-fit Fixed Non-Marking Mounter, AM5 Anti-Bending Contact Frame, CPU Cooler Standard.…","https://pcpartpicker.com/product/PMGbt6/placeholder","Thermalright","B0BMK8KZCN"
"","Headphone 3.5mm Splitter Mic Cable for Computer, KOOPAO Headset 3.5mm Female to 2 Dual Male Microphone Audio Stereo Jack Earphones Port to Gaming Speaker PC Adapter","https://pcpartpicker.com/product/PTNgXL/placeholder-","KOOPAO","M4S-BR"
"","LINKUP - AVA5 PCIE 5.0 Riser Cable | RTX5090 5080 GPU Ready | x16 128GB/s Speed | Compatible with PCIe 4.0 & WRX80/WRX90E | Right Angle, Black, 20cm","https://pcpartpicker.com/product/kTYfrH/placeholder","LINKUP Technology Inc.","AG-P5-33SR-020BK-v3"
"","Phobya temperature sensor in / outer thread G1 / 4","https://pcpartpicker.com/product/n6dFf7/phobya-temperature-sensor-in-outer-thread-g1-4","Phobya","71170"
"","LINKUP - 30cm ATX 24 Pin (20+4) Motherboard PSU Braided Sleeved Power Supply Extension Cable w/Combs┃Strong & Stiff Design┃Single Pack┃300mm - White","https://pcpartpicker.com/product/vJrRsY/placeholder","LINKUP Technology Inc.","PEM-24MB-WH30"
"","EZDIY-FAB PCIe 5.0 Adapter - 600W 12+4pin, 16pin 12VHPWR GPU Power Connector, 180 Degree Right Angle - Compatible with RTX 3090Ti, 4070Ti, 4080, 4090 Graphics Cards - RVS Type, Black, 1 Pack","https://pcpartpicker.com/product/G6ZXsY/placeholder","EZDIY-FAB","B0CP3NBHF4"
"","AmazonBasics Line-Interactive UPS 1500VA 900 Watt, 10 Outlets","https://pcpartpicker.com/product/vPBhP6/placeholder-","AmazonBasics","1PA-1198004-00G"
"","Phobya Shroud Plexi 140mm x 140mm x 20mm","https://pcpartpicker.com/product/ZYwqqs/phobya-shroud-plexi-140mm-x-140mm-x-20mm","Phobya","38113"
"","SFF Noir Shadowlink Antenna - Dual Band WiFi and Bluetooth Antenna Set for PC (Mini)","https://pcpartpicker.com/product/DkXJ7P/placeholder-","SFF Noir, LLC","3"
"","Rii Primer RGB Compact Gaming Keyboard RK104,Backlight Keyboard,Small 87 Keys Computer Keyboard for Windows PC Laptop Desktop","https://pcpartpicker.com/product/vM3mP6/placeholder-","Rii","RK104"
"","Saitek PS28 X52 Flight Control System","https://pcpartpicker.com/product/sMVBD3/saitek-ps28-x52-flight-control-system","Mad Catz","PS28"
"","NZXT F280 RGB CORE RF-U28HF-W1 RGB LED Single-Frame RGB Fan Unit","https://pcpartpicker.com/product/wbmNnQ/placeholder","NZXT","RF-U28HF-W1"
"","Thermal Grizzly KryoSheet (38 x 38 x 0,2 mm)","https://pcpartpicker.com/product/nK7scf/placeholder","Thermal Grizzly","TG-KS-24-12"
"","Asiahorse Power Supply Sleeved Cable for Power Supply Extension Cable Wire Kit 1x24-PIN/ 2x8-PORT (4+4) M/B,3x8-PORT (6+2) PCI-E 30cm Length with Combs(Dual EPS Black-Mix)","https://pcpartpicker.com/product/bTdrxr/placeholder-","AsiaHorse","B08KDHGLT6"
"","Azeron Cyborg Gaming Keypad – Programmable One Handed Gaming Keyboard for PC Gaming – with Analog Thumbstick and 29 Programmable Keys – 3D Printed Customized Keypad – for Righties (Red)","https://pcpartpicker.com/product/cKWzK8/placeholder","SIA Azeron","B0B3YB78JR"
"","Aluminum Mini ITX Case with PCI 4.0 Riser, JOYJOM Mini PC Case, SFF Small Form Factor PC Case, TX Computer Gaming Case Supports GPU Graphics Card and Flex Power Supply (Black)","https://pcpartpicker.com/product/8vwypg/placeholder","JOYJOM","B0BLXY7S4Y"
"","SilverStone SST-SF160B-ARGB Shark Force Performance 160mm ARGB Case Fan","https://pcpartpicker.com/product/mr4Zxr/placeholder","Silverstone","SST-SF160B-ARGB"
"","NZXT F360 RGB Core - 360mm Single-Frame Fan Unit with 3 x 120mm RGB Fans - Speed & Lighting Control - High Static Pressure & Airflow - Fluid Dynamic Bearings - 8 aRGB LEDs Per Fan - Black","https://pcpartpicker.com/product/fxpQzy/placeholder","NZXT","RF-U36HF-B1"
"","Aquacomputer Farbwerk 360 (53279)","https://pcpartpicker.com/product/4qYLrH/aquacomputer-farbwerk-360-53279","Aquacomputer","53279"
"","Cooler Master MasterAccessory Vertical Graphics Card Holder Kit V3...","https://pcpartpicker.com/product/GmGhP6/placeholder","Cooler Master","MCA-U000R-WFVK03"
"","upHere GPU Support Bracket, Gpu Anti Sag Bracket, Graphics Card GPU Support, Video Card Sag Holder Bracket, GPU Stand, S(26mm-50mm)","https://pcpartpicker.com/product/ZBMMnQ/placeholder","upHere","B0CZ8F4DT4"
"","upHere 5V Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder,Built-in 5V ARGB Lamp,Adjustable Height Support,GH03ARGB","https://pcpartpicker.com/product/QFH7YJ/placeholder","upHere","GH03ARGB-US"
"","Elite Series 2 Controller - Black","https://pcpartpicker.com/product/s4tQzy/elite-series-2-controller-black","Placeholder","B07SFKTLZM"
"","SAMA 750W Black Power Supply 80 Plus Gold Full Voltage Full Modular FDB Silent Fan ECO Mode 12V PSU ATX Power Supply for All Graphics Cards Black 10 Year Warranty","https://pcpartpicker.com/product/9KtLrH/placeholder","SAMA","B0CSSPNQGQ"
"","Noctua NA-SAVP1 Chromax Anti-Vibration Fan Mount Set - 16 Pack - White (NA-SAVP1 white)","https://pcpartpicker.com/product/bh7CmG/noctua-na-savp1-chromax-anti-vibration-fan-mount-set-16-pack-white-na-savp1-white","Noctua","NA-SAVP1 chromax.white"
"","Audio-Technica 20 Series AT2035 Cardioid Condenser Side Address Microphone","https://pcpartpicker.com/product/srcMnQ/audio-technica-20-series-at2035-cardioid-condenser-side-address-microphone","Audio-Technica","AT2035"
"","Thermalright ASF-Black AM5 CPU Holder, Corrective Anti-Bending Fixing Frame, AM5 Full-fit Fixed Non-Marking Mounter, CPU Cooler Standard,AM5 Anti-Bending Contact Frame","https://pcpartpicker.com/product/QmddnQ/placeholder","Thermalright","B0BML25FD7"
"","CORSAIR Premium Individually Sleeved PSU Cables Pro Kit – Black, 2 Year Warranty","https://pcpartpicker.com/product/zfw7YJ/corsair-premium-individually-sleeved-psu-cables-pro-kit-black-2-year-warranty","Corsair","CP-8920224"
"","DGHAOP PC Case Fan Governor PWM Temperature Control 3Pin/4pin PCI Cooling Fan Speed Controller SATA Power Supply","https://pcpartpicker.com/product/24VmP6/placeholder","DGHAOP","PCCFGTC-1"
"","TeckNet Pro 2.4G Wireless Mouse,Nano Receiver,6 Buttons,24 Month Battery Life,2400 DPI 3 Adjustment Levels","https://pcpartpicker.com/product/GwYWGX/tecknet-pro-24g-wireless-mousenano-receiver6-buttons24-month-battery-life2400-dpi-3-adjustment-levels","TECKNET","849993"
"","Asiahorse 18AWG Purple Sleeved Cable PSU Extension Cable Kit with 24 PIN 6+2 PIN 4+4 PIN Sleeved Extension Cables for ATX Power Supply with Two Color Cable Combs","https://pcpartpicker.com/product/KzfnTW/placeholder-","AsiaHorse","B08YNRCBB9"
"","REKONG WiFi 6E BT5.2 AX210NGW Dual-Band 160MHz M.2 2230 WiFi Card Wireless 802.11ax 2x2 MU-MIMO AX210 3000Mbps NGFF Network Card Better AX200NGW Card for PC Laptops Only Support Windows 10,64","https://pcpartpicker.com/product/w8Tp99/placeholder-","REKONG","B08PBRRL9Z"
"","Samsung PM9A1 MZVL2512HCJQ - Solid state drive - 512 GB - inbyggd - M.2 - PCI Express 4.0 x4 (NVMe)","https://pcpartpicker.com/product/YPFbt6/placeholder-","SAMSUNG",""
"","AsiaHorse Power Supply Sleeved Cable, 16 AWG PSU Extension Cable Kit of White Connector, 1x24Pin/2x4+4 EPS/3x6+2 PCI-E, 30cm Length with Combs-White","https://pcpartpicker.com/product/DFzhP6/placeholder","AsiaHorse","B0B56LHGRC"
"","FIFINE Studio Condenser USB Microphone Computer PC Microphone Kit With Adjustable Scissor Arm Stand Shock Mount USB Cable for Voice Overs Recording Podcasting Youtube Karaoke Gaming Streaming","https://pcpartpicker.com/product/PQPgXL/fifine-studio-condenser-usb-microphone-computer-pc-microphone-kit-with-adjustable-scissor-arm-stand-shock-mount-usb-cable-for-voice-overs-recording-podcasting-youtube-karaoke-gaming-streaming","FIFINE","ABCD19T669N"
"","Corsair Gaming MM300 Anti-Fray Cloth Gaming Mouse Pad, Extended","https://pcpartpicker.com/product/7qRFf7/corsair-gaming-mm300-anti-fray-cloth-gaming-mouse-pad-extended","Corsair","CH-9000108-WW"
"","VELCRO Brand - ONE-WRAP Cable Management, Thin Self-Gripping Cable Ties: Reusable, Light Duty - 8"" x 1/2"" Ties, 100 Pack - Black","https://pcpartpicker.com/product/YRKhP6/velcro-brand-one-wrap-cable-management-thin-self-gripping-cable-ties-reusable-light-duty-8-x-12-ties-100-pack-black","#N/A!","91140"
"","Asiahorse 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (White)","https://pcpartpicker.com/product/4swkcf/placeholder-","AsiaHorse","B08HLZ3NTX"
"","Microsoft Xbox Wireless Adapter for Windows","https://pcpartpicker.com/product/tL98TW/microsoft-xbox-wireless-adapter-for-windows","Microsoft Software","HK9-00001"
"","RK ROYAL KLUDGE RK96 90% 96 Keys BT5.0/2.4G/USB-C Hot Swappable Mechanical Keyboard, Wireless Bluetooth Mechanical Keyboard with Magnetic Hand Rest, Blue Backlight (Blue Switch)","https://pcpartpicker.com/product/rynypg/placeholder","RK ROYAL KLUDGE","RK96"
"","upHere ARGB Graphics Card GPU Support Bracket,Adjustable Single Slot,Support Video Card Holder Bracket with 5V 3PIN ARGB LED,GH03ARGB","https://pcpartpicker.com/product/z7BG3C/placeholder","upHere","GH03ARGB-UK"
"","UGREEN USB Bluetooth Adapter, 5.4 Bluetooth Adapter for PC, Plug & Play for Windows 11/10/8.1, Bluetooth Receiver & Transmitter for Keyboard/Mouse/Headphone/Speakers/Printer","https://pcpartpicker.com/product/VFdMnQ/placeholder","Ugreen Group Limited","45134"
"","Quntis Curved Monitor Light Bar 51cm with Wireless Remote Control, Dimming Screen Light Bar, Adjustable Colour Brightness Eye Caring Computer Monitor Lamp USB for Most Screens Monitor Lamp","https://pcpartpicker.com/product/hndG3C/placeholder","Quntis","B0B87CVVLH"
"","Ediloca EN870 SSD 1TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 7450MB/s, Dynamic SLC Cache, Internal Solid State Drive, Compatible with PS5 and PC","https://pcpartpicker.com/product/wgNYcf/placeholder","Ediloca","B0C7ZBJYQ5"
"","NZXT USB Hub Intern AC-IUSBH-M3","https://pcpartpicker.com/product/QKJmP6/placeholder-","Nzxt",""
"","MUSETEX PC Fans, 120MM PWM ARGB Computer Case Fans, Adjustable Speed, Customizable Lighting, Excellent Cooling Performance, White, Pack of 3, MF","https://pcpartpicker.com/product/hnwmP6/placeholder","MUSETEX","MF-W2"
"","Huawei Display 24 Pouces, Ecran D'ordinateur PC Ajustable, Moniteur Full HD, Ecran Fullview, Certifications Low Blue Light Flicker Free, 60 Hz, 5 ms, Noir","https://pcpartpicker.com/product/Jw3gXL/placeholder-","HUAWEI","53060072"
"","Zerone PCI-E to USB 3.0 2 Port Express Card, with 1 USB 3.0 20-pin Connector","https://pcpartpicker.com/product/W3x2FT/zerone-pci-e-to-usb-30-2-port-express-card-with-1-usb-30-20-pin-connector","Zerone","Zeronepwo42bydgi"
"","Philips Hue - Puente de conexión (iluminación inteligente - controlable vía WiFi, compatible con Apple Homekit y Google Home)","https://pcpartpicker.com/product/qBF48d/philips-hue-puente-de-conexion-iluminacion-inteligente-controlable-via-wifi-compatible-con-apple-homekit-y-google-home","Philips","929001180601"
"","Thermalright LGA1700-BCF Black 12/13 Generation Intel Anti-Bending Fastener, Bending Type Pressure Plate, CPU Fixed Fastener, Full-Fitting Fixed Non-Marking Installation, Standard for Coolers","https://pcpartpicker.com/product/2D4Zxr/placeholder","Thermalright","LGA17XX-BCF-BLACK-D6"
"","MZHOU Mainboard USB Splitter,USB2.0 9PIN usb splitter 1 zu 2, usb mainboard adapter 9PIN-Leitungen Verlängerungsport USB splitter für PC - 17.6cm usb header splitter","https://pcpartpicker.com/product/MycgXL/placeholder","MZHOU","USB Dual 9Pin"
"","AIAIAI TMA-2 Studio Wireless+ - World’s First Wireless Headphones for Music Creators","https://pcpartpicker.com/product/2wmNnQ/placeholder","AIAIAI","76085"
"","Memorex 16GB Flash Drive USB 2.0 - Blue (32020001621)","https://pcpartpicker.com/product/CC8Pxr/placeholder","Memorex","32020001621"
"","Noctua NA-HC3 chromax.black.swap heatsink covers (for NH-D15, NH-D15S & NH-D15 SE-AM4)","https://pcpartpicker.com/product/VDbkcf/noctua-na-hc3-chromaxblackswap-heatsink-covers-for-nh-d15-nh-d15s-nh-d15-se-am4","Noctua","NA-HC3 chromax.black.swap"
"","Anker 568 USB-C Docking Station (11-in-1, USB4), Up to 100W Charging for Laptop, 40Gbps Data Transfer, Ethernet, Single 8K, Triple 4K Display, 6 USB Ports for Windows Laptop and More(Gray)","https://pcpartpicker.com/product/RVTZxr/placeholder","Anker","A8399"
"","9pin USB Header Male 1 to 2 Female Extension Splitter Cable Connector Adapter (Male 1 to 2 Female)","https://pcpartpicker.com/product/mYXnTW/9pin-usb-header-male-1-to-2-female-extension-splitter-cable-connector-adapter-male-1-to-2-female","TGOOD","B076Q8685Y"
"","Phanteks Neon Digital RGB LED Strip - 550mm","https://pcpartpicker.com/product/3fyqqs/phanteks-neon-digital-rgb-led-strip-550mm","Phanteks","PH-NELEDKT_M5"
"","SHARDEN Precision Screwdriver Set 49 in 1 Small Screwdriver Set Magnetic Screwdriver Kit Electronic Repair Tool kit for Laptop, iPhone, Computer, PS5, PS4, Xbox, Cell Phone, MacBook, Eyeglass","https://pcpartpicker.com/product/HkyH99/placeholder","SHARDEN","B0CCTNX9GY"
"","Asiahorse Power Supply Sleeved Cable for Power Supply Extension Cable Wire Kit 1x24-PIN/ 2x8-PORT (4+4) M/B,3x8-PORT (6+2) PCI-E 30cm Length with Combs(Dual EPS Black)","https://pcpartpicker.com/product/fRLwrH/placeholder-","AsiaHorse","B08KCSZHDX"
"","NZXT USB Hub Intern AC-IUSBH-M3","https://pcpartpicker.com/product/QKJmP6/placeholder-","Nzxt",""
"","Externes CD DVD Laufwerk, Amicool USB 3.0 mit Type-C Portable DVD/CD Brenner und -Lesegerät/Plug&Play/niedriger Lärm/Slim Superdrive für Laptop, Desktop, Mac, Macbook, Ios, Windows 10/8/7/XP and Linux","https://pcpartpicker.com/product/xsHRsY/externes-cd-dvd-laufwerk-amicool-usb-30-mit-type-c-portable-dvdcd-brenner-und-lesegeratplugplayniedriger-larmslim-superdrive-fur-laptop-desktop-mac-macbook-ios-windows-1087xp-and-linux","Amicool","B07QG9JN79"
"","AsiaHorse ARGB PC Lüfter 120MM Gehäuselüfter 3 Stück [Unendlichkeitsspiegel] [Stumm] 1800RPM RGB Lüfter 5V3PIN ARGB und 12V4PIN PWM Lüfter, 50,000 Stunden Lebensdauer AMICIPro Schwarz","https://pcpartpicker.com/product/PwcBD3/placeholder","AsiaHorse","AMICI-Pro"
