"component_type","component_name","component_link","Manufacturer","Part_#_#"
"","EPOMAKER Aura75 75% Mechanical Keyboard Kit, Hot Swappable 2.4Ghz/Bluetooth 5.0/USB-C Wired Wireless Gaming DIY Kit, with Silicone Pad, 3000mAh Battery, South-Facing RGB Backlight for Win/Mac","https://pcpartpicker.com/product/QjbRsY/placeholder","EPOMAKER","B0C4H429NB"
"","EZDIY-FAB 12VHPWR PSU Cable Extension Kit,16AWG PCIE 5.0 Power Supply Cable Extension- 1x 24 Pin ATX /2X 8Pin (4+4) EPS / 1x12+4 Pin GPU,Sleeve Cable 300MM with Combs-Black Grey","https://pcpartpicker.com/product/FNRwrH/placeholder","EZDIY-FAB","EZDPI227-4"
"","GLOTRENDS M.2 PCIe X1 Adapter with M.2 Screw for M.2 PCIe 4.0/3.0 SSD (NVMe/AHCI Key M), PCIe X1/X4/X8/X16 Lane Installation, but Only PCIe X1 Bandwidth (PA09-X1)","https://pcpartpicker.com/product/y6kWGX/placeholder","glotrends","B09P3HY3P3"
"","M.2 NVME to PCIe 3.0 x4 Adapter with Aluminum Heatsink Solution","https://pcpartpicker.com/product/qskgXL/m2-nvme-to-pcie-30-x4-adapter-with-aluminum-heatsink-solution","YATENG","M.2 Adapter"
"","CORSAIR iCUE AF120 ELITE RGB 120mm PWM Fan - Eight RGB LEDs - AirGuide Technology - Fluid Dynamic Bearing - CORSAIR iCUE Software  Compatible","https://pcpartpicker.com/product/2Vn9TW/placeholder","Corsair","CO-9050153-WW"
"","Corsair Black Type 4 Gen 4 Premium PSU Cable Comb Kit","https://pcpartpicker.com/product/2RYQzy/placeholder-","Corsair","CP-8920257"
"","Vertiv Liebert PSA5 1000VA 600W line-Interactive UPS with AVR Technology and Battery Backup, 10 outlets and Three-Year, Full Unit Replacement Warranty (PSA5-1000MT120), 1000VA/600W","https://pcpartpicker.com/product/R7BhP6/placeholder-","Vertiv Co.","PSA5-1000MT120"
"","CableMod PRO ModMesh Cable Extension Kit (Black)","https://pcpartpicker.com/product/hYXnTW/cablemod-pro-modmesh-cable-extension-kit-black","Cablemod","CM-PCAB-BKIT-NKK-3PK"
"","Thermaltake Toughpower GT 750W | Snow | Modular | 80Plus Gold","https://pcpartpicker.com/product/kk62FT/placeholder","Thermaltake","PS-TPT-0750FNFAGE-W"
"","Akasa AK-CBUB19-10BK USB 3.0 to USB 2.0 Adapter Cable","https://pcpartpicker.com/product/vPzZxr/akasa-ak-cbub19-10bk-usb-30-to-usb-20-adapter-cable","Akasa","AK-CBUB19-10BK"
"","Cooler Master MasterAccessory Vertical Graphics Card Holder Kit V3...","https://pcpartpicker.com/product/wj6p99/placeholder","Cooler Master","MCA-U000R-KFVK03"
"","EPOMAKER x Aula F75 Gasket Mechanical Keyboard, 75% Wireless Hot Swappable Gaming Keyboard with Five-Layer Padding&Knob, Bluetooth/2.4GHz/USB-C, RGB (Light Blue, LEOBOG Reaper Switch)","https://pcpartpicker.com/product/4NFmP6/placeholder","EPOMAKER","B0CNT61VMZ"
"","ABNO1 PSU Cable Extension Kit 30CM Length with Cable Combs 1x24Pin/1x8Pin(4+4) EPS/2x8Pin(6P+2P) PCI-E/PC Sleeved Cable for ATX Power Supply(White)","https://pcpartpicker.com/product/MJ4Ycf/placeholder","ABNO1","A-CC-1"
"","ASIAHORSE 16AWG PSU Cable Extension Power Cords, Customized Power Supply Mod Sleeve Extension Cable, ATX/EPS/8-pin PCI-E/6-pin PCI-E for PSU Cable (Pure White)","https://pcpartpicker.com/product/m47scf/placeholder","AsiaHorse","B0D2HYL15M"
"","Strimer Plus V2 Triple 8-Pin RGB Braided GPU RTX Series Power Extension Cable, 300mm w/ RGB LED Controller","https://pcpartpicker.com/product/tnVmP6/placeholder","Lian Li","StrimerPlusV2Tripl8p"
"","Anti Static Wrist Strap Band, ESD Strap Anti Shock Wristband Bracelet with Grounding Wire, Alligator Clip, Extendable Long Cord","https://pcpartpicker.com/product/Hb3mP6/placeholder-","ARCTIC EAGLE","B08CXQN86W"
"","AsiaHorse COSMIQ-Black 120mm PC RGB Fans, 5V 3-PIN Connector Daisy Chain FDB PWM Computer Case Fans with RGB Controller for Cases CPU Liquid Coolers, 3Pack (Black) (White, 3_Pack_Reverse Blad","https://pcpartpicker.com/product/dg88TW/placeholder","AsiaHorse","COSMIQ-ALL"
"","FormulaMod Sleeve Extension Power Supply Cable Kit 18AWG ATX 24P+ EPS 8-P+PCI-E8-P with Combs for PSU to Motherboard/GPU (Black)","https://pcpartpicker.com/product/CfRgXL/placeholder-","FormulaMod","B083SBQNG8"
"","Powered USB Hub 3.0, Wenter 11-Port USB Splitter Hub (10 Faster Data Transfer Ports+ 1 Smart Charging Port) with Individual LED On/Off Switches, USB Hub 3.0 Powered with Power Adapter for Mac","https://pcpartpicker.com/product/cHBzK8/placeholder","Dongguan Kingdrive Industrial Co., Ltd","KDP-AE"
"","Thermalright Lga1851 BCF Black CPU Curved Pressure Plate,Specially Designed to Support Ultra 200s Series CPUs,Multiple Installations Will not Wear Down The CPU Cover,Comes with L-Shaped Screw","https://pcpartpicker.com/product/v7Pv6h/placeholder","Thermalright","LGA1851 BCF BLACK"
,CORSAIR RGB LED Lighting PRO Expansion Kit,https://pcpartpicker.com/product/k2Jkcf/corsair-rgb-led-lighting-pro-expansion-kit,Corsair,CL-8930002
