component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Teamgroup Ms30 2 Tb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/wdRYcf/teamgroup-ms30-2-tb-m2-2280-solid-state-drive-tm8ps7002t0c101,2000,M.2 2280,,,M.2 SATA,Teamgroup,FALSE,TM8PS7002T0C101,0.046,,,,,,,,,,SSD
"Western Digital Blue 250 Gb 2.5"" Ssd",https://pcpartpicker.com/product/NhgzK8/western-digital-blue-250gb-25-solid-state-drive-wds250g2b0a,250,"2.5""",,,SATA 6.0 Gb/s,Western Digital,FALSE,WDS250G2B0A,0.196,,,,,,,,,,SSD
Sabrent Rocket 4 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/fyzXsY/sabrent-rocket-4-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sb-rkt4l-1tb,1000,M.2 2280,,,PCIe 4.0 x4,Sabrent,TRUE,SB-RKT4L-1TB,0.09,,,,,,,,,,SSD
"Pny Cs900 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/x83mP6/pny-cs900-1-tb-25-solid-state-drive-ssd7cs900-1tb-rb,1000,"2.5""",,,SATA 6.0 Gb/s,Pny,FALSE,SSD7CS900-1TB-RB,0.055,,,,,,,,,,SSD
"Intenso High Performance 480 Gb 2.5"" Ssd",https://pcpartpicker.com/product/G7vqqs/intenso-high-performance-480-gb-25-solid-state-drive-3813450,480,"2.5""",,,SATA 6.0 Gb/s,Intenso,FALSE,3813450,0.081,,,,,,,,,,SSD
Lexar Nm790 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/B8QKHx/lexar-nm790-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x001t-rnnng,1000,M.2 2280,,,PCIe 4.0 x4,Lexar,TRUE,LNM790X001T-RNNNG,0.07,,,,,,,,,,SSD
Adata Legend 900 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/npzXsY/adata-legend-900-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sleg-900-2tcs,2000,M.2 2280,,,PCIe 4.0 x4,Adata,TRUE,SLEG-900-2TCS,0.07,,,,,3D NAND,,,,,SSD
"Kingston Ssdnow Uv400 240 Gb 2.5"" Ssd",https://pcpartpicker.com/product/MVWrxr/kingston-ssdnow-uv400-240gb-25-solid-state-drive-suv400s37240g,240,"2.5""",,,SATA 6.0 Gb/s,Kingston,FALSE,SUV400S37/240G,,,,,,,,,,,SSD
"Samsung 850 Evo 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/RbvZxr/samsung-internal-hard-drive-mz75e1t0bam,1000,"2.5""",,,SATA 6.0 Gb/s,Samsung,FALSE,MZ-75E1T0B/AM,0.2,,,,,,,,,,SSD
Sandisk X400 128 Gb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/dpH48d/sandisk-internal-hard-drive-sd8sn8u128g1122,128,M.2 2280,,,M.2 SATA,Sandisk,FALSE,SD8SN8U-128G-1122,,,,,,,,,,,SSD
Apacer As2280P4U 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/mkV2FT/apacer-as2280p4u-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-ap1tbas2280p4u-1,1000,M.2 2280,,,PCIe 3.0 x4,Apacer,TRUE,AP1TBAS2280P4U-1,,,,,,,,,,,SSD
Corsair Mp600 Core Xt 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Zwhv6h/corsair-mp600-core-xt-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f2000gbmp600cxt,2000,M.2 2280,,,PCIe 4.0 x4,Corsair,TRUE,CSSD-F2000GBMP600CXT,0.085,,,,,3D QLC,,,,,SSD
"Sandisk Ultra Ii 960 Gb 2.5"" Ssd",https://pcpartpicker.com/product/vLCwrH/sandisk-internal-hard-drive-sdssdhii960gg25,960,"2.5""",,,SATA 6.0 Gb/s,Sandisk,FALSE,SDSSDHII-960G-G25,,,,,,,,,,,SSD
Teamgroup T-Force Cardea Z44L 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/8BRYcf/team-t-force-cardea-z44l-1-tb-m2-2280-nvme-solid-state-drive-tm8fpl001t0c127,1000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FPL001T0C127,,,,,,,,,,,SSD
Corsair Mp600 Force Series Gen4 2 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/qCmFf7/corsair-mp600-force-series-gen4-2-tb-m2-2280-solid-state-drive-cssd-f2000gbmp600,2000,M.2 2280,,,PCIe 3.0 x4,Corsair,TRUE,CSSD-F2000GBMP600,,,,,,,,,,,SSD
Pny Xlr8 Cs3030 500 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/YKZzK8/pny-xlr8-cs3030-500-gb-m2-2280-nvme-solid-state-drive-m280cs3030-500-rb,500,M.2 2280,,,PCIe 3.0 x4,Pny,TRUE,M280CS3030-500-RB,,,,,,,,,,,SSD
"Teamgroup T-Force Vulcan Z 480 Gb 2.5"" Ssd",https://pcpartpicker.com/product/TmzhP6/teamgroup-t-force-vulcan-z-480-gb-25-solid-state-drive-t253tz480g0c101,480,"2.5""",,,SATA 6.0 Gb/s,Teamgroup,FALSE,T253TZ480G0C101,,,,,,,,,,,SSD
Pny Cs3140 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/6HGbt6/pny-cs3140-2-tb-m2-2280-nvme-solid-state-drive-m280cs3140-2tb-rb,2000,M.2 2280,,,PCIe 4.0 x4,Pny,TRUE,M280CS3140-2TB-RB,0.072,,,,,,,,,,SSD
Western Digital Wd_Black Sn850X W/Heatsink 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/sfwypg/western-digital-wd_black-sn850x-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t2xhe,2000,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS200T2XHE,0.09,,,,,,,,,,SSD
"Kingspec P3 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/TRcG3C/kingspec-p3-1-tb-25-solid-state-drive-p3-1tb,1000,"2.5""",,,SATA 6.0 Gb/s,Kingspec,FALSE,P3-1TB,0.047,,,,,,,,,,SSD
"Crucial Bx500 240 Gb 2.5"" Ssd",https://pcpartpicker.com/product/mdc48d/crucial-bx500-240gb-25-solid-state-drive-ct240bx500ssd1,240,"2.5""",,,SATA 6.0 Gb/s,Crucial,FALSE,CT240BX500SSD1,0.092,,,,,,,,,,SSD
"Western Digital Blue Sa510 2 Tb 2.5"" Ssd",https://pcpartpicker.com/product/v74Zxr/western-digital-blue-sa510-2-tb-25-solid-state-drive-wds200t3b0a,2000,"2.5""",,,SATA 6.0 Gb/s,Western Digital,FALSE,WDS200T3B0A,0.055,,,,,,,,,,SSD
"Kingston A400 960 Gb 2.5"" Ssd",https://pcpartpicker.com/product/hGprxr/kingston-a400-960-gb-25-solid-state-drive-sa400s37960g,960,"2.5""",,,SATA 6.0 Gb/s,Kingston,FALSE,SA400S37/960G,0.062,,,,,,,,,,SSD
Micron 3400 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/6DGbt6/micron-3400-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mtfdkba1t0tfh1bc1aabyy,1000,M.2 2280,,,PCIe 4.0 x4,Micron,TRUE,MTFDKBA1T0TFH1BC1AABYY,0.13,,,,,,,,,,SSD
Intel Optane P1600X 118 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/P7mmP6/intel-optane-p1600x-118-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-ssdpek1a118ga01,118,M.2 2280,,,PCIe 3.0 x4,Intel,TRUE,SSDPEK1A118GA01,,,,,,,,,,,SSD
"Patriot P210 512 Gb 2.5"" Ssd",https://pcpartpicker.com/product/FrZzK8/patriot-p210-512-gb-25-solid-state-drive-p210s512g25,512,"2.5""",,,SATA 6.0 Gb/s,Patriot,FALSE,P210S512G25,0.059,,,,,,,,,,SSD
Silicon Power Ud85 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/XD3NnQ/silicon-power-ud85-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud8505,2000,M.2 2280,,,PCIe 4.0 x4,Silicon Power,TRUE,SP02KGBP44UD8505,,,,,,,,,,,SSD
"Patriot P210 256 Gb 2.5"" Ssd",https://pcpartpicker.com/product/kjmFf7/patriot-p210-256-gb-25-solid-state-drive-p210s256g25,256,"2.5""",,,SATA 6.0 Gb/s,Patriot,FALSE,P210S256G25,0.07,,,,,,,,,,SSD
"Kingston Savage 480 Gb 2.5"" Ssd",https://pcpartpicker.com/product/NYrcCJ/kingston-internal-hard-drive-shss37a480g,480,"2.5""",,,SATA 6.0 Gb/s,Kingston,FALSE,SHSS37A/480G,,,,,,,,,,,SSD
Mushkin Helix-L 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/BJF48d/mushkin-enhanced-helix-l-1-tb-m2-2280-solid-state-drive-mknssdhl1tb-d8,1000,M.2 2280,,,PCIe 3.0 x4,Mushkin,TRUE,MKNSSDHL1TB-D8,0.059,,,,,,,,,,SSD
"Pny Cs900 240 Gb 2.5"" Ssd",https://pcpartpicker.com/product/dF448d/pny-cs900-240gb-25-solid-state-drive-ssd7cs900-240-rb,240,"2.5""",,,SATA 6.0 Gb/s,Pny,FALSE,SSD7CS900-240-RB,,,,,,,,,,,SSD
Visiontek Dlx4 Pro 512 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/BrvD4D/visiontek-dlx4-pro-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-901567,512,M.2 2280,,,PCIe 4.0 x4,Visiontek,TRUE,901567,0.15,,,,,3D NAND,,,,,SSD
Transcend 250S 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/xfmNnQ/transcend-250s-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ts1tmte250s,1000,M.2 2280,,,PCIe 4.0 x4,Transcend,TRUE,TS1TMTE250S,0.117,,,,,3D NAND,,,,,SSD
Adata Xpg Gammix S11 Pro 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/qBCD4D/adata-xpg-gammix-s11-pro-1-tb-m2-2280-solid-state-drive-agammixs11p-1tt-c,1000,M.2 2280,,,PCIe 3.0 x4,Adata,TRUE,AGAMMIXS11P-1TT-C,0.124,,,,,,,,,,SSD
"Silicon Power A55 2 Tb 2.5"" Ssd",https://pcpartpicker.com/product/DZkj4D/silicon-power-a55-2-tb-25-solid-state-drive-sp002tbss3a55s25,2000,"2.5""",,,SATA 6.0 Gb/s,Silicon Power,FALSE,SP002TBSS3A55S25,0.044,,,,,,,,,,SSD
Samsung Pm961 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/27Crxr/samsung-pm961-256gb-m2-2280-solid-state-drive-mzvlw1t0hmlh-00000,1000,M.2 2280,,,PCIe 3.0 x4,Samsung,TRUE,MZVLW1T0HMLH-00000,,,,,,,,,,,SSD
Teamgroup T-Force Z44A7 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/z9dG3C/teamgroup-t-force-z44a7-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpv002t0c129,2000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FPV002T0C129,,,,,,,,,,,SSD
Western Digital Blue 1 Tb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/DgJtt6/western-digital-blue-1tb-m2-2280-solid-state-drive-wds100t2b0b,1000,M.2 2280,,,M.2 SATA,Western Digital,FALSE,WDS100T2B0B,0.127,,,,,,,,,,SSD
Transcend 830S 512 Gb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/nVHqqs/transcend-830s-512-gb-m2-2280-sata-solid-state-drive-ts512gmts830s,512,M.2 2280,,,M.2 SATA,Transcend,FALSE,TS512GMTS830S,0.104,,,,,,,,,,SSD
"Tcsunbow X3 240 Gb 2.5"" Ssd",https://pcpartpicker.com/product/8VfhP6/tcsunbow-x3-240gb-25-solid-state-drive-x3-240gb,240,"2.5""",,,SATA 6.0 Gb/s,Tcsunbow,FALSE,X3-240GB,,,,,,,,,,,SSD
Solidigm P44 Pro 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/X8nypg/solidigm-p44-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ssdpfkkw020x7x1,2000,M.2 2280,,,PCIe 4.0 x4,Solidigm,TRUE,SSDPFKKW020X7X1,0.119,,,,,,,,,,SSD
"Samsung Data Center 960 Gb 2.5"" Ssd",https://pcpartpicker.com/product/z8dFf7/samsung-internal-hard-drive-mz7lm960hchp00003,960,"2.5""",,,SATA 6.0 Gb/s,Samsung,FALSE,MZ7LM960HCHP-00003,,,,,,,,,,,SSD
"Pny Cs1311 240 Gb 2.5"" Ssd",https://pcpartpicker.com/product/7v38TW/pny-internal-hard-drive-ssd7cs1311240rb,240,"2.5""",,,SATA 6.0 Gb/s,Pny,FALSE,SSD7CS1311-240-RB,,,,,,,,,,,SSD
Patriot P300 2 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/3kxbt6/patriot-p300-2-tb-m2-2280-nvme-solid-state-drive-p300p2tbm28,2000,M.2 2280,,,PCIe 3.0 x4,Patriot,TRUE,P300P2TBM28,0.049,,,,,,,,,,SSD
Western Digital Black Sn750 Se 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/P8Z9TW/western-digital-wd_black-sn750-se-1-tb-m2-2280-nvme-solid-state-drive-wds100t1b0e,1000,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS100T1B0E,,,,,,,,,,,SSD
Adata Legend 800 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/2GXV3C/adata-legend-800-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-aleg-800-1000gcs,1000,M.2 2280,,,PCIe 4.0 x4,Adata,TRUE,ALEG-800-1000GCS,0.067,,,,,3D NAND,,,,,SSD
Lexar Nm620 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/mBnypg/lexar-nm620-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm620x512g-rnnng,512,M.2 2280,,,PCIe 3.0 x4,Lexar,TRUE,LNM620X512G-RNNNG,0.078,,,,,3D TLC,,,,,SSD
"Western Digital Blue 500 Gb 2.5"" Ssd",https://pcpartpicker.com/product/rcRFf7/western-digital-blue-500gb-25-solid-state-drive-wds500g1b0a,500,"2.5""",,,SATA 6.0 Gb/s,Western Digital,FALSE,WDS500G1B0A,0.188,,,,,,,,,,SSD
Inland Tn320 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/W7hv6h/inland-tn320-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-1tb-tn320-nvme,1000,M.2 2280,,,PCIe 3.0 x4,Inland,TRUE,1TB TN320 NVME,0.065,,,,,3D TLC,,,,,SSD
Patriot Viper Vpn110 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/KMrRsY/patriot-viper-vpn110-512-gb-m2-2280-nvme-solid-state-drive-vpn110-512gm28h,512,M.2 2280,,,PCIe 3.0 x4,Patriot,TRUE,VPN110-512GM28H,,,,,,,,,,,SSD
"Teamgroup Cx2 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/VzQfrH/team-cx2-1-tb-25-solid-state-drive-t253x6001t0c101,1000,"2.5""",,,SATA 6.0 Gb/s,Teamgroup,FALSE,T253X6001T0C101,0.053,,,,,,,,,,SSD
Sandisk Ultra 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/YzvdnQ/sandisk-ultra-1-tb-m2-2280-nvme-solid-state-drive-sdssdh3n-1t00-g25,1000,M.2 2280,,,PCIe 3.0 x4,Sandisk,TRUE,SDSSDH3N-1T00-G25,,,,,,,,,,,SSD
"Lexar Ns100 128 Gb 2.5"" Ssd",https://pcpartpicker.com/product/qJcG3C/lexar-ns100-128-gb-25-solid-state-drive-lns100-128rb,128,"2.5""",,,SATA 6.0 Gb/s,Lexar,FALSE,LNS100-128RB,,,,,,,,,,,SSD
Western Digital Blue Sn580 500 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/kHRwrH/western-digital-blue-sn580-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds500g3b0e,500,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS500G3B0E,0.084,,,,,,,,,,SSD
Silicon Power A80 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/2sdxFT/silicon-power-a80-1-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-sp001tbp34a80m28,1000,M.2 2280,,,PCIe 3.0 x4,Silicon Power,TRUE,SP001TBP34A80M28,,,,,,,,,,,SSD
Inland Performance Plus 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/CLmmP6/inland-performance-plus-1-tb-m2-2280-nvme-solid-state-drive-329474,1000,M.2 2280,,,PCIe 4.0 x4,Inland,TRUE,329474,0.075,,,,,3D TLC,,,,,SSD
Corsair Mp700 Elite W/Heatsink 2 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Rbn9TW/corsair-mp700-elite-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700ehs,2000,M.2 2280,,,PCIe 5.0 x4,Corsair,TRUE,CSSD-F2000GBMP700EHS,0.105,,,,,3D TLC,,,,,SSD
Seagate Barracuda Q5 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/nkddnQ/seagate-barracuda-q5-1-tb-m2-2280-nvme-solid-state-drive-zp1000cv3a001,1000,M.2 2280,,,PCIe 3.0 x4,Seagate,TRUE,ZP1000CV3A001,0.062,,,,,,,,,,SSD
Acer Fa100 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/8k8bt6/acer-fa100-512-gb-m2-2280-nvme-solid-state-drive-bl9bwwa119,512,M.2 2280,,,PCIe 3.0 x4,Acer,TRUE,BL.9BWWA.119,,,,,,,,,,,SSD
"Silicon Power Su128Gbss3A55S25Ae 128 Gb 2.5"" Ssd",https://pcpartpicker.com/product/3GXnTW/silicon-power-128gb-25-solid-state-drive-su128gbss3a55s25ae,128,"2.5""",,,SATA 6.0 Gb/s,Silicon Power,FALSE,SU128GBSS3A55S25AE,0.133,,,,,,,,,,SSD
Adata Xpg Sx8200 Pro 2 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/kQZzK8/adata-xpg-sx8200-pro-2-tb-m2-2280-nvme-solid-state-drive-asx8200pnp-2tt-c,2000,M.2 2280,,,PCIe 3.0 x4,Adata,TRUE,ASX8200PNP-2TT-C,,,,,,,,,,,SSD
Western Digital Black Sn750 2 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/9zQG3C/western-digital-wd_black-sn750-2-tb-m2-2280-nvme-solid-state-drive-wds200t3xhc,2000,M.2 2280,,,PCIe 3.0 x4,Western Digital,TRUE,WDS200T3XHC,0.158,,,,,,,,,,SSD
Teamgroup T-Force Cardea Zero Z330 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Nb4BD3/team-t-force-cardea-zero-z330-1-tb-m2-2280-nvme-solid-state-drive-tm8fp8001t0c311,1000,M.2 2280,,,PCIe 3.0 x4,Teamgroup,TRUE,TM8FP8001T0C311,,,,,,,,,,,SSD
"Teamgroup T-Force Vulcan Z 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/BvGbt6/teamgroup-t-force-vulcan-z-1-tb-25-solid-state-drive-t253tz001t0c101,1000,"2.5""",,,SATA 6.0 Gb/s,Teamgroup,FALSE,T253TZ001T0C101,0.054,,,,,,,,,,SSD
Western Digital Black Sn750 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/QQrmP6/western-digital-wd_black-sn750-1-tb-m2-2280-nvme-solid-state-drive-wds100t3x0c,1000,M.2 2280,,,PCIe 3.0 x4,Western Digital,TRUE,WDS100T3X0C,0.12,,,,,,,,,,SSD
Sabrent Rocket 4.0 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/fVYQzy/sabrent-rocket-40-1-tb-m2-2280-solid-state-drive-sb-rocket-nvme4-1tb,1000,M.2 2280,,,PCIe 4.0 x4,Sabrent,TRUE,SB-ROCKET-NVMe4-1TB,,,,,,,,,,,SSD
Western Digital Black Sn850 500 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/jhfFf7/western-digital-black-sn850-500-gb-m2-2280-nvme-solid-state-drive-wds500g1x0e,500,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS500G1X0E,0.22,,,,,,,,,,SSD
Kioxia Exceria Pro 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/7GC48d/kioxia-exceria-pro-2-tb-m2-2280-nvme-solid-state-drive-lse10z002tg8,2000,M.2 2280,,,PCIe 4.0 x4,Kioxia,TRUE,LSE10Z002TG8,,,,,,,,,,,SSD
Teamgroup Mp44 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/wXkH99/teamgroup-mp44-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpw001t0c101,1000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FPW001T0C101,0.07,,,,,,,,,,SSD
Western Digital Black Sn850 500 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/dyJmP6/western-digital-black-sn850-wheatsink-500-gb-m2-2280-nvme-solid-state-drive-wds500g1xhe,500,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS500G1XHE,0.259,,,,,,,,,,SSD
Corsair Mp510 960 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Ny22FT/corsair-mp510-960gb-m2-2280-solid-state-drive-cssd-f960gbmp510,960,M.2 2280,,,PCIe 3.0 x4,Corsair,TRUE,CSSD-F960GBMP510,,,,,,,,,,,SSD
Intel 660P 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/K6Jtt6/intel-660p-1-tb-m2-2280-nvme-solid-state-drive-ssdpeknw010t801,1000,M.2 2280,,,PCIe 3.0 x4,Intel,TRUE,SSDPEKNW010T801,0.149,,,,,,,,,,SSD
"Intel Optane 905P 1.5 Tb 2.5"" Nvme Ssd",https://pcpartpicker.com/product/x9ZFf7/intel-optane-905p-15-tb-25-nvme-solid-state-drive-ssdpe21d015tax1,1500,"2.5""",,,U.2,Intel,TRUE,SSDPE21D015TAX1,3,,,,,,,,,,
Intel 660P 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/TKZzK8/intel-660p-1-tb-m2-2280-nvme-solid-state-drive-ssdpeknw010t8xt,1000,M.2 2280,,,PCIe 3.0 x4,Intel,TRUE,SSDPEKNW010T8XT,,,,,,,,,,,SSD
"Sandisk Ssd Plus 480 Gb 2.5"" Ssd",https://pcpartpicker.com/product/x28H99/sandisk-ssd-plus-480gb-25-solid-state-drive-sdssda-480g-g26,480,"2.5""",,,SATA 6.0 Gb/s,Sandisk,FALSE,SDSSDA-480G-G26,0.082,,,,,,,,,,SSD
Crucial Mx500 500 Gb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/fgZFf7/crucial-mx500-500gb-m2-2280-solid-state-drive-ct500mx500ssd4,500,M.2 2280,,,M.2 SATA,Crucial,FALSE,CT500MX500SSD4,,,,,,,,,,,SSD
Msi Spatium M390 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/CtBG3C/msi-spatium-m390-1-tb-m2-2280-nvme-solid-state-drive-sm390n1tb,1000,M.2 2280,,,PCIe 3.0 x4,Msi,TRUE,SM390N1TB,0.08,,,,,,,,,,SSD
Patriot P300 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/bdsnTW/patriot-p300-1-tb-m2-2280-nvme-solid-state-drive-p300p1tbm28,1000,M.2 2280,,,PCIe 3.0 x4,Patriot,TRUE,P300P1TBM28,0.055,,,,,,,,,,SSD
