component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Western Digital Blue 250 Gb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/smBrxr/western-digital-blue-250gb-m2-2280-solid-state-drive-wds250g1b0b,250,M.2 2280,,,M.2 SATA,Western Digital,FALSE,WDS250G1B0B,,,,,,,,,,,SSD
"Adata Su800 256 Gb 2.5"" Ssd",https://pcpartpicker.com/product/7YQRsY/adata-ultimate-su800-256-gb-25-solid-state-drive-asu800ss-256gt-c,256,"2.5""",,,SATA 6.0 Gb/s,Adata,FALSE,ASU800SS-256GT-C,0.194,,,,,,,,,,SSD
Crucial P1 500 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/xpYLrH/crucial-p1-500gb-m2-2280-solid-state-drive-ct500p1ssd8,500,M.2 2280,,,PCIe 3.0 x4,Crucial,TRUE,CT500P1SSD8,0.252,,,,,,,,,,SSD
Inland Tn470 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/rkn9TW/inland-tn470-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-2tb-tn470,2000,M.2 2280,,,PCIe 4.0 x4,Inland,TRUE,2TB TN470,0.064,,,,,,,,,,SSD
Western Digital Wd_Black Sn850X W/Heatsink 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/Ccwypg/western-digital-wd_black-sn850x-wheatsink-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t2xhe,1000,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS100T2XHE,0.11,,,,,,,,,,SSD
"Sandisk Ultra 3D 500 Gb 2.5"" Ssd",https://pcpartpicker.com/product/RxYLrH/sandisk-ultra-3d-500gb-25-solid-state-drive-sdssdh3-500g-g25,500,"2.5""",,,SATA 6.0 Gb/s,Sandisk,FALSE,SDSSDH3-500G-G25,0.225,,,,,,,,,,SSD
Western Digital Blue Sn550 2 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/zNK2FT/western-digital-blue-sn550-2-tb-m2-2280-nvme-solid-state-drive-wds200t2b0c,2000,M.2 2280,,,PCIe 3.0 x4,Western Digital,TRUE,WDS200T2B0C,0.1,,,,,,,,,,SSD
Sk Hynix Platinum P41 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/sw2WGX/sk-hynix-platinum-p41-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-shpp41-1000gm-2,1000,M.2 2280,,,PCIe 4.0 x4,Sk Hynix,TRUE,SHPP41-1000GM-2,0.077,,,,,,,,,,SSD
Msi Spatium M461 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/9vfxFT/msi-spatium-m461-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m461-2tb,2000,M.2 2280,,,PCIe 4.0 x4,Msi,TRUE,SPATIUM M461 2TB,0.05,,,,,,,,,,SSD
Silicon Power A80 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/XML48d/silicon-power-a80-512-gb-m2-2280-solid-state-drive-sp512gbp34a80m28,512,M.2 2280,,,PCIe 3.0 x4,Silicon Power,TRUE,SP512GBP34A80M28,,,,,,,,,,,SSD
