"component_type","component_name","component_link","Backlit","Color","Connection_Type","Layout","Manufacturer","Mechanical","Mouse_Included","Part_#_#","Style","Switch_Type","Tenkeyless"
"","Asus ROG Azoth Extreme RGB Bluetooth/Wireless/Wired Gaming","https://pcpartpicker.com/product/bkCZxr/asus-rog-azoth-extreme-rgb-bluetoothwirelesswired-gaming-keyboard-m702-azoth-extremenxsw","RGB","Black","Wired; Wireless; Bluetooth Wireless","English (US)","Asus","No","No","M702 AZOTH EXTREME/NXSW; 90MP03MA-BKAA01","Gaming","ROG NX Snow","Yes"
"","AUKEY KM-G3-US RGB Wired Gaming","https://pcpartpicker.com/product/dfsmP6/aukey-km-g3-us-wired-gaming-keyboard-km-g3-us","RGB","Silver / Black","Wired","English (US)","AUKEY","Yes","No","KM-G3-US","Gaming","Outemu Blue","No"
"","Womier SK75 RGB Wired/Wireless/Bluetooth Mini","https://pcpartpicker.com/product/WsdG3C/womier-sk75-rgb-wiredwirelessbluetooth-mini-keyboard-40855557865543","RGB","White","Wired; Wireless; Bluetooth Wireless","English (US)","Womier","Yes","No","40855557865543","Mini","Womier Mint Blizzard Linear","No"
"","Keychron K8 Aluminum Frame Bluetooth/Wired Standard","https://pcpartpicker.com/product/Hprqqs/keychron-k8-aluminum-frame-bluetoothwired-standard-keyboard-32018252988505","","Black / Gray","Wired; Bluetooth Wireless","English (US)","Keychron","Yes","No","32018252988505","Standard","Gateron G Pro Red Hot-swappable","Yes"
"","SteelSeries Apex Pro Mini RGB Wired Gaming","https://pcpartpicker.com/product/3X6p99/steelseries-apex-pro-mini-rgb-wired-gaming-keyboard-64820","RGB","Black","Wired","English (US)","SteelSeries","No","No","64820","Gaming","SteelSeries OmniPoint 2.0","Yes"
"","Keychron Q1 Pro RGB Bluetooth/Wireless/Wired Standard","https://pcpartpicker.com/product/ycjRsY/keychron-q1-pro-rgb-bluetoothwirelesswired-standard-keyboard-q1p-m1","RGB","Black","Wired; Wireless; Bluetooth Wireless","English (US)","Keychron","Yes","No","Q1P-M1","Standard","Keychron K Pro Red","Yes"
"","Razer Ornata V3 RGB Wired Gaming","https://pcpartpicker.com/product/8dkWGX/razer-ornata-v3-rgb-wired-gaming-keyboard-rz03-04460200-r3u1","RGB","Black","Wired","English (US)","Razer","No","No","RZ03-04460200-R3U1; RZ03-04460100-R3M1","Gaming","","No"
"","Logitech G713 RGB Wired/Wired Gaming","https://pcpartpicker.com/product/2wddnQ/logitech-g713-rgb-wiredwired-gaming-keyboard-920-010670","RGB","White","Wired; Wired","English (US)","Logitech","No","No","920-010670","Gaming","GX Red","Yes"
"","Asus ROG Falchion RGB Wired/Wireless Gaming","https://pcpartpicker.com/product/Z6H7YJ/asus-rog-falchion-rgb-wiredwireless-gaming-keyboard-90mp01y6-bkua00","RGB","Black","Wired; Wireless","English (US)","Asus","Yes","No","90MP01Y6-BKUA00; M601 ROG FALCHION NX/NXRD/US","Gaming","ROG NX Red","Yes"
"","Razer BlackWidow V4 Pro RGB Wired Gaming","https://pcpartpicker.com/product/KK7scf/razer-blackwidow-v4-pro-rgb-wired-gaming-keyboard-rz03-04680200-r3u1","RGB","Black","Wired","English (US)","Razer","No","No","RZ03-04680200-R3U1; RZ03-04681800-R3M1","Gaming","Razer Yellow","No"
"","Logitech MX KEYS MINI Bluetooth/Wireless/Wired Mini","https://pcpartpicker.com/product/vnkWGX/logitech-mx-keys-mini-bluetoothwirelesswired-mini-keyboard-920-010475","","Black","Wired; Wireless; Bluetooth Wireless","English (US)","Logitech","No","No","920-010475","Mini","","Yes"
"","Keychron C3 Pro Wired Standard","https://pcpartpicker.com/product/dLfxFT/keychron-c3-pro-wired-standard-keyboard-c3p-a3","Red","Black / Red","Wired","English (US)","Keychron","Yes","No","C3P-A3","Standard","Keychron K Pro Brown","Yes"
"","Logitech G915 Lightspeed RGB Wireless Gaming","https://pcpartpicker.com/product/rdXYcf/logitech-g915-lightspeed-rgb-wireless-gaming-keyboard-920-009103","RGB","Black","Wireless","English (US)","Logitech","Yes","No","920-009103; 920-009111","Gaming","Logitech GL Clicky","No"
"","Logitech MX KEYS MINI Bluetooth/Wireless/Wired Mini","https://pcpartpicker.com/product/J8hFf7/logitech-mx-keys-mini-bluetoothwirelesswired-mini-keyboard-920-010388","","Gray","Wired; Wireless; Bluetooth Wireless","English (US)","Logitech","No","No","920-010388; 920-010498","Mini","","Yes"
"","Razer BlackWidow V4 Pro 75% RGB Wireless/Bluetooth Mini","https://pcpartpicker.com/product/Wkhv6h/razer-blackwidow-v4-pro-75-rgb-wirelessbluetooth-mini-keyboard-rz03-05130200-r3u1","RGB","Black","Wireless; Bluetooth Wireless","English (US)","Razer","Yes","No","RZ03-05130200-R3U1","Mini","Razer Gen-3 (Tactile)","Yes"
"","Rosewill NEON K54 RGB Wired Gaming","https://pcpartpicker.com/product/bGqBD3/rosewill-neon-k54-wired-gaming-keyboard-neon-k54","RGB","Black","Wired","English (US)","Rosewill","No","No","NEON K54","Gaming","","No"
"","Womier SK75 RGB Wired/Wireless/Bluetooth Mini","https://pcpartpicker.com/product/6fXV3C/womier-sk75-rgb-wiredwirelessbluetooth-mini-keyboard-40855557898311","RGB","Black","Wired; Wireless; Bluetooth Wireless","English (US)","Womier","Yes","No","40855557898311","Mini","Womier Mint Blizzard Linear","No"
"","Razer BlackWidow V4 RGB Wired Gaming","https://pcpartpicker.com/product/kxRwrH/razer-blackwidow-v4-rgb-wired-gaming-keyboard-rz03-04690200-r3u1","RGB","Black","Wired","English (US)","Razer","Yes","No","RZ03-04690200-R3U1","Gaming","Razer Green","No"
"","Keychron K10 Bluetooth/Wired Standard","https://pcpartpicker.com/product/PkdMnQ/keychron-k10-bluetoothwired-standard-keyboard-k10-a1","White","Gray / Black","Wired; Bluetooth Wireless","English (US)","Keychron","Yes","No","K10-A1","Standard","Gateron G Pro Red","No"
"","NZXT Function 2 RGB Wired/Wired Gaming","https://pcpartpicker.com/product/XLXV3C/nzxt-function-2-rgb-wiredwired-gaming-keyboard-kb-002nw-de","RGB","White","Wired; Wired","German","NZXT","Yes","No","KB-002NW-DE","Gaming","NZXT Swift Optical 40g","Yes"
"","Logitech G713 RGB Wired/Wired Gaming","https://pcpartpicker.com/product/rFvdnQ/logitech-g713-rgb-wiredwired-gaming-keyboard-920-010413","RGB","White","Wired; Wired","English (US)","Logitech","No","No","920-010413","Gaming","GX Brown","Yes"
,SteelSeries Apex 3 (2020) RGB Wired Gaming,https://pcpartpicker.com/product/QMyqqs/steelseries-apex-3-2020-rgb-wired-gaming-keyboard-64795,RGB,Black,Wired,English (US),SteelSeries,No,No,64795,Gaming,,No
,Redragon DEVARAIAS K556 RGB Wired Gaming,https://pcpartpicker.com/product/QvM323/redragon-devaraias-k556-rgb-wired-gaming-keyboard-k556,RGB,Black,Wired,English (US),Redragon,Yes,No,K556,Gaming,Outemu Brown,No,DEVARAIAS K556 RGB
,Keychron K8 Aluminum Frame Bluetooth/Wired Standard,https://pcpartpicker.com/product/tkjRsY/keychron-k8-aluminum-frame-bluetoothwired-standard-keyboard-32018253054041,None,Black / Gray,Wired; Bluetooth Wireless,English (US),Keychron,Yes,No,32018253054041,Standard,Gateron G Pro Brown Hot-swappable,Yes
,SHARKOON Skiller Wired Gaming,https://pcpartpicker.com/product/fKYXsY/sharkoon-keyboard-skiller,None,Black,Wired,,SHARKOON,No,No,Skiller,Gaming,,No,104
,SteelSeries Apex 3 TKL RGB Wired Gaming,https://pcpartpicker.com/product/zZ3gXL/steelseries-apex-3-tkl-rgb-wired-gaming-keyboard-12167,RGB,Black,Wired,English (US),SteelSeries,No,No,12167,Gaming,,Yes,Apex 3 TKL RGB
,Asus ROG Strix Scope RGB Wired Gaming,https://pcpartpicker.com/product/DCBhP6/asus-rog-strix-scope-rgb-wired-gaming-keyboard-90mp0240-bkua00,RGB,,Wired,English (US),Asus,Yes,No,90MP0240-BKUA00; XA05 ROG STRIX SCOPE RX/RD/US,Gaming,ROG RX Red Optical,No
,Patriot Viper V770 RGB Wired Gaming,https://pcpartpicker.com/product/sMzZxr/patriot-viper-v770-wired-gaming-keyboard-pv770mrumxgm,RGB,Black,Wired,English (US),Patriot,Yes,No,PV770MRUMXGM,Gaming,Kailh Red,No,Viper V770,108
,SteelSeries Apex 3 TKL RGB Wired Gaming,https://pcpartpicker.com/product/zZ3gXL/steelseries-apex-3-tkl-rgb-wired-gaming-keyboard-12167,RGB,Black,Wired,English (US),SteelSeries,No,No,12167,Gaming,,Yes,Apex 3 TKL RGB
