component_type,component_name,component_link,Amount,Features,Manufacturer,Part_#_#
,Thermal Grizzly Kryonaut 1 g,https://pcpartpicker.com/product/XHqbt6/thermal-grizzly-kryonaut-1-g-thermal-paste-tg-k-001-rs,1 g,,Thermal Grizzly,TG-K-001-RS,Kryonaut
,Thermal Grizzly Conductonaut Extreme 5 g,https://pcpartpicker.com/product/fXGhP6/thermal-grizzly-conductonaut-extreme-5-g-thermal-paste-s-tg-ce-005-r,5 g,,Thermal Grizzly,S-TG-CE-005-R; TG-CE-005-R
,Thermal Grizzly Kryonaut Extreme 33.84 g,https://pcpartpicker.com/product/NLRwrH/thermal-grizzly-kryonaut-extreme-3384-g-thermal-paste-tg-ke-090-r-2,33.84 g,,Thermal Grizzly,TG-KE-090-R-2
,Corsair XTM50 5 g,https://pcpartpicker.com/product/QP3mP6/corsair-xtm50-5-g-thermal-paste-ct-9010002-ww,5 g,,Corsair,CT-9010002-WW,XTM50
,Thermal Grizzly Kryonaut 1 g,https://pcpartpicker.com/product/XHqbt6/thermal-grizzly-kryonaut-1-g-thermal-paste-tg-k-001-rs,,,,
,ARCTIC MX-4 (2019) 4 g,https://pcpartpicker.com/product/JmYLrH/arctic-mx-4-2019-4-g-thermal-paste-actcp00002b,4 g,,ARCTIC,ACTCP00002B
,ARCTIC MX-4 (2019) 4 g,https://pcpartpicker.com/product/JmYLrH/arctic-mx-4-2019-4-g-thermal-paste-actcp00002b,4 g,,ARCTIC,ACTCP00002B
,ARCTIC MX-4 4 g,https://pcpartpicker.com/product/HBXfrH/arctic-mx-4-4-g-thermal-paste-ac-mx4,4 g,"Easy Application; Optimal Thermal Conductivity; Low Thermal Resistance; Non-Electrical Conductive; Non-Capacitive; Non-Corrosive; No Curing; No Bleeding; Thermal Conductivity (W/mk): 8.5; Viscosity (poise): 870; Density (g/cm3): 2.5; Net Weight: 4g; The ARCTIC MX-4 is a premium-grade thermal paste with exceptional performance and ease of application. It is an electrically non-conductive paste that is applied between CPU/GPU and designated coolers to transfer the dissipated heat from the components to the heat sink. Since the ARCTIC MX-4 is a metal-free compound, it eliminates the risks of causing short circuit and in turn adding more protection to your computer.; The new formula in the ARCTIC MX-4 features optimal thermal conductivity and low thermal resistance. These characteristics effectively dissipate the emitted heat from the core components.; The consistency of the ARCTIC MX-4 is designed for simple application. Its texture is just thin enough to spread onto components using fingers without creating much mess.",ARCTIC,AC-MX4; ORACO-MX40001-BL
,ARCTIC MX-4 4 g,https://pcpartpicker.com/product/HBXfrH/arctic-mx-4-4-g-thermal-paste-ac-mx4,4 g,"Easy Application; Optimal Thermal Conductivity; Low Thermal Resistance; Non-Electrical Conductive; Non-Capacitive; Non-Corrosive; No Curing; No Bleeding; Thermal Conductivity (W/mk): 8.5; Viscosity (poise): 870; Density (g/cm3): 2.5; Net Weight: 4g; The ARCTIC MX-4 is a premium-grade thermal paste with exceptional performance and ease of application. It is an electrically non-conductive paste that is applied between CPU/GPU and designated coolers to transfer the dissipated heat from the components to the heat sink. Since the ARCTIC MX-4 is a metal-free compound, it eliminates the risks of causing short circuit and in turn adding more protection to your computer.; The new formula in the ARCTIC MX-4 features optimal thermal conductivity and low thermal resistance. These characteristics effectively dissipate the emitted heat from the core components.; The consistency of the ARCTIC MX-4 is designed for simple application. Its texture is just thin enough to spread onto components using fingers without creating much mess.",ARCTIC,AC-MX4; ORACO-MX40001-BL
,ARCTIC MX-2 4 g,https://pcpartpicker.com/product/3wLypg/arctic-mx-2-4-g-thermal-paste-mx-2r,,,,
