component_type,component_name,component_link,CPU_Socket,Color,Fan_RPM,Fanless,Height,Inferred_,Manufacturer,Noise_Level,Part_#_#,Water_Cooled
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,Noctua NH-L12S 55.44 CFM,https://pcpartpicker.com/product/hbnG3C/noctua-nh-l12s-5544-cfm-cpu-cooler-nh-l12s,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,450 - 1850 RPM,No,70 mm,,Noctua,16.8 - 23.9 dB,NH-L12S,No
,Deepcool GAMMAXX 300 R 40 CFM,https://pcpartpicker.com/product/GHVBD3/deepcool-gammaxx-300-r-40-cfm-cpu-cooler-gammaxx-300-r,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA775; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366,,900 - 1600 RPM,No,136 mm,,Deepcool,17.8 - 21 dB,GAMMAXX 300 R; DP-MCH3-GMX300RD,No
,Thermalright AXP90-X53 FULL 42.58 CFM,https://pcpartpicker.com/product/DPHqqs/thermalright-axp90-x53-full-4258-cfm-cpu-cooler-axp90-x53-full,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Copper / Orange,2700 RPM,No,53 mm,,Thermalright,22.4 dB,AXP90-X53 FULL,No
,Lian Li Galahad II LCD SL-INF 79.9 CFM Liquid,https://pcpartpicker.com/product/LKGhP6/lian-li-galahad-ii-lcd-sl-inf-799-cfm-liquid-cpu-cooler-ga2alcd36inb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,,No,,,Lian Li,29 dB,GA2ALCD36INB,Yes - 360 mm
,Thermalright Peerless Assassin 66.17 CFM,https://pcpartpicker.com/product/CwqPxr/thermalright-peerless-assassin-6617-cfm-cpu-cooler-peerless-assassin-120,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Gray,1550 RPM,No,157 mm,,Thermalright,25.6 dB,Peerless Assassin 120; PA120; PA120 D6-CAD,No
,ID-COOLING PINKFLOW 240 Diamond 55.2 CFM Liquid,https://pcpartpicker.com/product/XHPQzy/id-cooling-pinkflow-240-diamond-552-cfm-liquid-cpu-cooler-pinkflow-240-diamond,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA2011; LGA2011-3; LGA2066,Pink,900 - 2000 RPM,No,,,ID-COOLING,16.3 - 33.5 dB,PINKFLOW 240 Diamond; PINKFLOW 240 DIAMOND EDITION,Yes - 240 mm
,ID-COOLING FROZN A400 BLACK 45.8 CFM,https://pcpartpicker.com/product/hdcgXL/id-cooling-frozn-a400-black-458-cfm-cpu-cooler-frozn-a400-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 2200 RPM,No,123 mm,,ID-COOLING,25.8 dB,FROZN A400 BLACK,No
,ID-COOLING AURAFLOW X 74.5 CFM Liquid,https://pcpartpicker.com/product/NrmFf7/id-cooling-auraflow-x-745-cfm-liquid-cpu-cooler-auraflow-x-240,AM2; AM2+; AM3; AM3+; AM4; AM5; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,700 - 1800 RPM,No,,,ID-COOLING,18 - 35.2 dB,AURAFLOW X 240,Yes - 240 mm
,Thermalright Assassin X Refined SE RGB 66.17 CFM,https://pcpartpicker.com/product/vHH7YJ/thermalright-assassin-x-refined-se-argb-6617-cfm-cpu-cooler-ax120-se-argb-white-d2,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White / Silver,1550 RPM,No,148 mm,,Thermalright,25.6 dB,AX120 SE ARGB WHITE-D2; AX120 SE ARGB WHITE; AX120 REFINED SE WHT ARGB,No
,Intel E97379-001,https://pcpartpicker.com/product/xm22FT/intel-e97379-001-cpu-cooler-e97379-001,LGA1150; LGA1151; LGA1155; LGA1156; LGA1200,Silver / Black,1200 - 2800 RPM,No,51 mm,,Intel,22 dB,E97379-001,No
,Thermalright Aqua Elite V3 66.17 CFM Liquid,https://pcpartpicker.com/product/YXFmP6/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-white-v3,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1500 RPM,No,,,Thermalright,25.6 dB,Aqua Elite 360 White V3,Yes - 360 mm
,ID-COOLING FROZN A410 BLACK 78.25 CFM,https://pcpartpicker.com/product/R6P8TW/id-cooling-frozn-a410-black-7825-cfm-cpu-cooler-frozn-a410-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 2000 RPM,No,152 mm,,ID-COOLING,29.85 dB,FROZN A410 BLACK,No
,MSI MAG CORELIQUID A13 62.6 CFM Liquid,https://pcpartpicker.com/product/gPyH99/msi-mag-coreliquid-a13-626-cfm-liquid-cpu-cooler-mag-coreliquid-a13-360-white,AM4; AM5; LGA1700; LGA1851,White,,No,57 mm,,MSI,,MAG CORELIQUID A13 360 WHITE; 306-7ZWDA21-L80,Yes - 360 mm
,Deepcool GAMMAXX GT 29.5 CFM,https://pcpartpicker.com/product/WDPzK8/deepcool-gammaxx-gt-295-cfm-cpu-cooler-gammaxx-gt,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA2011; LGA2011-3; LGA2066,,500 - 1500 RPM,No,156 mm,,Deepcool,17.8 - 29.5 dB,GAMMAXX GT; DP-MCH4-GMX-RGB-GT,No
,Thermalright Aqua Elite V3 66.17 CFM Liquid,https://pcpartpicker.com/product/BvmNnQ/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-240-black-v3,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,,,Thermalright,25.6 dB,Aqua Elite 240 Black V3; AQUA ELITE 240 V3; AQUA ELITE 240 BLACK ARGB V3,Yes - 240 mm
,Noctua NH-U14S 82.52 CFM,https://pcpartpicker.com/product/DMjG3C/noctua-nh-u14s-8252-cfm-cpu-cooler-nh-u14s,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,300 - 1500 RPM,No,165 mm,,Noctua,19.2 - 24.6 dB,NH-U14S,No
,MSI MAG CORELIQUID A13 62.6 CFM Liquid,https://pcpartpicker.com/product/tWn9TW/msi-mag-coreliquid-a13-626-cfm-liquid-cpu-cooler-mag-coreliquid-a13-360,AM4; AM5; LGA1700; LGA1851,Black,,No,57 mm,,MSI,,MAG CORELIQUID A13 360; 306-7ZWDA11-L80,Yes - 360 mm
,ID-COOLING FROSTFLOW X 74.5 CFM Liquid,https://pcpartpicker.com/product/wx2bt6/id-cooling-frostflow-x-745-cfm-liquid-cpu-cooler-frostflow-x-240-snow,AM2; AM2+; AM3; AM3+; AM4; AM5; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,700 - 1800 RPM,No,,,ID-COOLING,18 - 35.2 dB,FROSTFLOW X 240 SNOW,Yes - 240 mm
,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,https://pcpartpicker.com/product/RD7scf/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-black-argb-d1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2000 RPM,No,,,Thermalright,27.7 dB,Frozen Notte 360 BLACK ARGB-D1; Frozen Notte 360 BLACK ARGB D6; Frozen Notte 360 BLACK ARGB,Yes - 360 mm
,Thermalright AXP90-X47 42.58 CFM,https://pcpartpicker.com/product/7GTp99/thermalright-axp90-x47-4258-cfm-cpu-cooler-axp90-x47-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2700 RPM,No,47 mm,,Thermalright,22.4 dB,AXP90-X47 BLACK,No
,ID-COOLING IS-55 Black 54.6 CFM,https://pcpartpicker.com/product/7pjBD3/id-cooling-is-55-black-546-cfm-cpu-cooler-is-55-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 2000 RPM,No,55 mm,,ID-COOLING,31.2 dB,IS-55 Black,No
,Thermalright AXP90-X53 42.58 CFM,https://pcpartpicker.com/product/Fb92FT/thermalright-axp90-x53-4258-cfm-cpu-cooler-axp90-x53-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2700 RPM,No,53 mm,,Thermalright,22.4 dB,AXP90-X53 BLACK,No
,Deepcool AK620 68.99 CFM,https://pcpartpicker.com/product/gvGbt6/deepcool-ak620-6899-cfm-cpu-cooler-ak620-wh,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1850 RPM,No,160 mm,,Deepcool,28 dB,AK620 WH; R-AK620-WHNNMT-G-1,No
,Thermalright SI-100 72.37 CFM,https://pcpartpicker.com/product/LHGhP6/thermalright-si-100-7237-cfm-cpu-cooler-si-100-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2000 RPM,No,100 mm,,Thermalright,27.7 dB,SI-100 BLACK,No
,Thermalright AXP120-X67 59 CFM,https://pcpartpicker.com/product/qBnypg/thermalright-axp120-x67-59-cfm-cpu-cooler-axp120-x67-black-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,1800 RPM,No,67 mm,,Thermalright,26.1 dB,AXP120-X67 BLACK ARGB,No
,ID-COOLING FROZN A720 BLACK 98.6 CFM,https://pcpartpicker.com/product/HbDQzy/id-cooling-frozn-a720-black-986-cfm-cpu-cooler-frozn-a720-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,163 mm,,ID-COOLING,33.5 dB,FROZN A720 BLACK,No
,Cooler Master Hyper 212 (2023) 70.7 CFM,https://pcpartpicker.com/product/dF3NnQ/cooler-master-hyper-212-2023-707-cfm-cpu-cooler-rr-s4kk-25sn-r1,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,690 - 2500 RPM,No,152 mm,,Cooler Master,32.8 dB,RR-S4KK-25SN-R1,No
,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,https://pcpartpicker.com/product/RD7scf/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-black-argb-d1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2000 RPM,No,,,Thermalright,27.7 dB,Frozen Notte 360 BLACK ARGB-D1; Frozen Notte 360 BLACK ARGB D6; Frozen Notte 360 BLACK ARGB,Yes - 360 mm
,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,https://pcpartpicker.com/product/zP88TW/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-240-black-argb,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2000 RPM,No,,,Thermalright,27.7 dB,Frozen Notte 240 BLACK ARGB,Yes - 240 mm
,Asus ROG RYUO III 360 ARGB WHITE EDITION 70.07 CFM Liquid,https://pcpartpicker.com/product/8rytt6/asus-rog-ryuo-iii-360-argb-white-edition-7007-cfm-liquid-cpu-cooler-rog-ryuo-iii-360-argb-white-edition,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,2200 RPM,No,,,Asus,36.45 dB,ROG RYUO III 360 ARGB WHITE EDITION; ROG RYUO III 360 ARGB WHIT; ROG RYUO III 360 ARGB WHT; 90RC00I2-M0AAY0; 90RC00I2-M0UAY0,Yes - 360 mm
,Noctua NH-U12S redux 70.75 CFM,https://pcpartpicker.com/product/vV7G3C/noctua-nh-u12s-redux-7075-cfm-cpu-cooler-nh-u12s-redux,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Gray / Silver,450 - 1700 RPM,No,158 mm,,Noctua,25.1 dB,NH-U12S redux,No
,Cooler Master Hyper 212 (2023) 70.7 CFM,https://pcpartpicker.com/product/dF3NnQ/cooler-master-hyper-212-2023-707-cfm-cpu-cooler-rr-s4kk-25sn-r1,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,690 - 2500 RPM,No,152 mm,,Cooler Master,32.8 dB,RR-S4KK-25SN-R1,No
,Thermalright Aqua Elite V3 66.17 CFM Liquid,https://pcpartpicker.com/product/TmWJ7P/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-240-white-v3,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1500 RPM,No,,,Thermalright,25.6 dB,Aqua Elite 240 White V3,Yes - 240 mm
,CRYORIG C7 40.5 CFM,https://pcpartpicker.com/product/Lbhj4D/cryorig-c7-405-cfm-cpu-cooler-c7,AM2; AM2+; AM3; AM3+; AM4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,,600 - 2500 RPM,No,47 mm,,CRYORIG,30 dB,C7; CR-C7A,No
,Noctua NH-L9x65 33.84 CFM,https://pcpartpicker.com/product/fhqbt6/noctua-nh-l9x65-3384-cfm-cpu-cooler-nh-l9x65,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,600 - 2500 RPM,No,65 mm,,Noctua,14.8 - 23.6 dB,NH-L9x65,No
,ID-COOLING FROZN A620 PRO SE 58 CFM,https://pcpartpicker.com/product/MFvD4D/id-cooling-frozn-a620-pro-se-58-cfm-cpu-cooler-frozn-a620-pro-se,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,300 - 2000 RPM,No,157 mm,,ID-COOLING,27.2 dB,FROZN A620 PRO SE,No
,be quiet! Dark Rock Elite,https://pcpartpicker.com/product/NpNYcf/be-quiet-dark-rock-elite-cpu-cooler-bk037,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,1500 - 2000 RPM,No,168 mm,,be quiet!,11 - 25.8 dB,BK037,No
,Thermalright Aqua Elite V3 66.17 CFM Liquid,https://pcpartpicker.com/product/YXFmP6/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-white-v3,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1500 RPM,No,,,Thermalright,25.6 dB,Aqua Elite 360 White V3,Yes - 360 mm
,Thermalright Frozen Warframe PRO ARGB 70.84 CFM Liquid,https://pcpartpicker.com/product/HgV2FT/thermalright-frozen-warframe-pro-argb-7084-cfm-liquid-cpu-cooler-fw-pro-360-argb-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2000 RPM,No,60 mm,,Thermalright,29.8 dB,FW PRO 360 ARGB BLACK; Frozen Warframe PRO 360 BLACK ARGB; FW PRO 360 ARGB BLACK D6-DE,Yes - 360 mm
,Deepcool LS720 SE WH 85.85 CFM Liquid,https://pcpartpicker.com/product/dWGhP6/deepcool-ls720-se-wh-8585-cfm-liquid-cpu-cooler-ls720-se-wh,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 2250 RPM,No,,,Deepcool,28.2 - 32.9 dB,LS720 SE WH; R-LS720-WHAMMM-G-1,Yes - 360 mm
,Thermalright AXP90-X47 42.58 CFM,https://pcpartpicker.com/product/RYFbt6/thermalright-axp90-x47-4258-cfm-cpu-cooler-axp90-x47-full,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Orange / Brown,2700 RPM,No,47 mm,,Thermalright,22.4 dB,AXP90-X47 FULL,No
,Thermalright SI-100 WHITE ARGB 72.37 CFM,https://pcpartpicker.com/product/GN6NnQ/thermalright-si-100-white-argb-7237-cfm-cpu-cooler-si-100-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,100 mm,,Thermalright,27.7 dB,SI-100 WHITE ARGB,No
,Jonsbo CR-1400 EVO ARGB Black 38.2 CFM,https://pcpartpicker.com/product/sGbRsY/jonsbo-cr-1400-evo-argb-black-382-cfm-cpu-cooler-cr-1400-evo-argb-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,800 - 2200 RPM,No,130 mm,,Jonsbo,22.3 - 33.8 dB,CR-1400 EVO ARGB Black; CR-1400-EVO-ARGB,No
,TRYX PANORAMA SE ARGB 66.09 CFM Liquid,https://pcpartpicker.com/product/ggtkcf/tryx-panorama-se-argb-6609-cfm-liquid-cpu-cooler-l-p360l-am3m-g0k,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 1850 RPM,No,125 mm,,TRYX,,L-P360L-AM3M-G0K,Yes - 360 mm
,Scythe Mugen 5 Black Edition Rev.C 67.62 CFM,https://pcpartpicker.com/product/wrDQzy/scythe-mugen-5-black-edition-revc-6762-cfm-cpu-cooler-scmg-5200be,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,300 - 1500 RPM,No,154 mm,,Scythe,4 - 28.6 dB,SCMG-5200BE,No
,ID-COOLING IS-47-XT 46 CFM,https://pcpartpicker.com/product/zPn9TW/id-cooling-is-47-xt-46-cfm-cpu-cooler-is-47-xt,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,800 - 2800 RPM,No,47 mm,,ID-COOLING,32.5 dB,IS-47-XT,No
,Asus ROG STRIX LC III ARGB LCD 70.38 CFM Liquid,https://pcpartpicker.com/product/fyYRsY/asus-rog-strix-lc-iii-argb-lcd-7038-cfm-liquid-cpu-cooler-rog-strix-lc-iii-360-argb-lcd-wht,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,800 - 2200 RPM,No,,,Asus,36 dB,ROG Strix LC III 360 ARGB LCD WHT,Yes - 360 mm
,ID-COOLING SE-224-XTS BLACK 70 CFM,https://pcpartpicker.com/product/jr2WGX/id-cooling-se-224-xts-black-70-cfm-cpu-cooler-se-224-xts-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,600 - 1500 RPM,No,151 mm,,ID-COOLING,28.9 dB,SE-224-XTS BLACK,No
,Noctua NH-L9i 33.84 CFM,https://pcpartpicker.com/product/xxphP6/noctua-nh-l9i-3384-cfm-cpu-cooler-nh-l9i,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200,Brown,600 - 2500 RPM,No,37 mm,,Noctua,14.8 - 23.6 dB,NH-L9i,No
,MSI MAG CORELIQUID E360 75.04 CFM Liquid,https://pcpartpicker.com/product/xbV2FT/msi-mag-coreliquid-e360-7504-cfm-liquid-cpu-cooler-mag-coreliquid-e360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,,No,,,MSI,,MAG CORELIQUID E360; 306-7ZW6E11-C24; 306-7ZW6E17-C24,Yes - 360 mm
,Thermalright AXP120-X67 59 CFM,https://pcpartpicker.com/product/K2cG3C/thermalright-axp120-x67-59-cfm-cpu-cooler-axp120-x67,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Gray,1800 RPM,No,67 mm,,Thermalright,26.1 dB,AXP120-X67,No
,Thermalright Frozen Prism ARGB 70.4 CFM Liquid,https://pcpartpicker.com/product/YdGhP6/thermalright-frozen-prism-argb-704-cfm-liquid-cpu-cooler-frozen-prism-240-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1850 RPM,No,,,Thermalright,27 dB,Frozen Prism 240 White ARGB,Yes - 240 mm
,Noctua NH-L9x65 SE-AM4,https://pcpartpicker.com/product/VHtWGX/noctua-nh-l9x65-se-am4-cpu-cooler-nh-l9x65-se-am4,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,,600 - 2500 RPM,No,65 mm,,Noctua,14.8 - 23.6 dB,NH-L9x65 SE-AM4,No
,CRYORIG A40 ULTIMATE 83 CFM Liquid,https://pcpartpicker.com/product/rwzZxr/cryorig-a40-ultimate-83-cfm-liquid-cpu-cooler-a40-ultimate,AM2; AM2+; AM3; AM3+; AM4; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA2011; LGA2011-3; LGA2066,,600 - 2200 RPM,No,,,CRYORIG,13 - 37 dB,A40 ULTIMATE; CR-A4B; CR-A40U,Yes - 240 mm
,ID-COOLING FROSTFLOW X 76.8 CFM Liquid,https://pcpartpicker.com/product/Lx3gXL/id-cooling-frostflow-x-768-cfm-liquid-cpu-cooler-frostflow-x-280,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black / Silver,800 - 1600 RPM,No,,,ID-COOLING,16.8 - 32.6 dB,FROSTFLOW X 280,Yes - 280 mm
,Asus ROG STRIX LC II ARGB 80.95 CFM Liquid,https://pcpartpicker.com/product/KV8bt6/asus-rog-strix-lc-ii-argb-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011-3 Narrow,Black,800 - 2500 RPM,No,,,Asus,37.6 dB,ROG STRIX LC II 360 ARGB; 90RC00F1-M0AAY0; 90RC00F1-M0UAY1; 90RC00F1-M0UAY4; 90RC00F1-M0UAY0,Yes - 360 mm
,Noctua NH-U9S 46.44 CFM,https://pcpartpicker.com/product/FcfmP6/noctua-nh-u9s-4644-cfm-cpu-cooler-nh-u9s,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,400 - 2000 RPM,No,124 mm,,Noctua,16.3 - 22.8 dB,NH-U9S,No
,ID-COOLING FROSTFLOW X 74.5 CFM Liquid,https://pcpartpicker.com/product/MjJmP6/id-cooling-frostflow-x-745-cfm-liquid-cpu-cooler-frostflow-x-240,AM2; AM2+; AM3; AM3+; AM4; AM5; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,700 - 1800 RPM,No,,,ID-COOLING,18 - 35.2 dB,FROSTFLOW X 240,Yes - 240 mm
,Noctua NH-D12L 60.09 CFM,https://pcpartpicker.com/product/MvGbt6/noctua-nh-d12l-6009-cfm-cpu-cooler-nh-d12l,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Beige / Brown,450 - 2000 RPM,No,145 mm,,Noctua,18.8 - 22.6 dB,NH-D12L,No
,Noctua NH-D9L chromax.black 46.44 CFM,https://pcpartpicker.com/product/KQMMnQ/noctua-nh-d9l-chromaxblack-4644-cfm-cpu-cooler-nh-d9l-chromaxblack,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,400 - 2000 RPM,No,110 mm,,Noctua,16.3 - 22.8 dB,NH-D9L chromax.black; NH-D9L ch.bk,No
,Noctua NH-L9a-AM4 33.84 CFM,https://pcpartpicker.com/product/DZfhP6/noctua-nh-l9a-am4-3384-cfm-cpu-cooler-nh-l9a-am4,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+,Brown,600 - 2500 RPM,No,37 mm,,Noctua,14.8 - 23.6 dB,NH-L9a-AM4,No
,MSI MAG CORELIQUID P360 78.73 CFM Liquid,https://pcpartpicker.com/product/vjC48d/msi-mag-coreliquid-p360-7873-cfm-liquid-cpu-cooler-mag-coreliquid-p360,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,,,MSI,14.3 - 34.3 dB,MAG CORELIQUID P360; 306-7ZW2P31-813; CLP360,Yes - 360 mm
,Thermalright Assassin King SE 66.17 CFM,https://pcpartpicker.com/product/RkC48d/thermalright-assassin-king-se-6617-cfm-cpu-cooler-ak120-se-d6,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Silver / Gray,1550 RPM,No,148 mm,,Thermalright,25.6 dB,AK120 SE-d6; TL-AK120 SE,No
