component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Inferred_,Interface,Length,Manufacturer,Memory,Memory_Type,Part_#_#,SLI_CrossFire,TDP,Total_Slot_Width,,,
MSI GT 1030 2G LP OC GeForce GT 1030 2 GB,https://pcpartpicker.com/product/XQH48d/msi-geforce-gt-1030-2gb-lp-oc-video-card-gt-1030-2g-lp-oc,1518 MHz,1,GeForce GT 1030,Black,1 Fan,1265 MHz,1,6008 MHz,,,1,,PCIe x16,159 mm,MSI,2 GB,GDDR5,GT 1030 2G LP OC,,30 W,1,,,
Sapphire NITRO+ Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/tCLFf7/sapphire-radeon-rx-6700-xt-12-gb-nitro-video-card-11306-01-20g,2622 MHz,2,Radeon RX 6700 XT,Silver / Black,3 Fans,2321 MHz,3,16000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,310 mm,Sapphire,12 GB,GDDR6,11306-01-20G,,260 W,3,,,
Gigabyte EAGLE GeForce RTX 3060 12GB 12 GB,https://pcpartpicker.com/product/G2RYcf/gigabyte-eagle-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060eagle-12gd,1777 MHz,2,GeForce RTX 3060 12GB,Black,2 Fans,1320 MHz,2,15000 MHz,1 x PCIe 8-pin,G-Sync,2,,PCIe x16,242 mm,Gigabyte,12 GB,GDDR6,GV-N3060EAGLE-12GD,,170 W,2,,,
PowerColor Fighter Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/c3RYcf/powercolor-fighter-radeon-rx-6700-xt-12-gb-video-card-axrx-6700xt-12gbd6-3dh,2581 MHz,2,Radeon RX 6700 XT,Black,2 Fans,2321 MHz,3,16000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,228 mm,PowerColor,12 GB,GDDR6,AXRX 6700XT 12GBD6-3DH; 6700XT 12GBD6-3DH,,230 W,2,,,
PowerColor Fighter Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/c3RYcf/powercolor-fighter-radeon-rx-6700-xt-12-gb-video-card-axrx-6700xt-12gbd6-3dh,2581 MHz,2,Radeon RX 6700 XT,Black,2 Fans,2321 MHz,3,16000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,228 mm,PowerColor,12 GB,GDDR6,AXRX 6700XT 12GBD6-3DH; 6700XT 12GBD6-3DH,,230 W,2,,,
XFX Speedster SWFT 309 Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/RFGbt6/xfx-radeon-rx-6700-xt-12-gb-speedster-swft-309-video-card-rx-67xtyjfdv,2581 MHz,2,Radeon RX 6700 XT,Black,3 Fans,2321 MHz,3,,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,304 mm,XFX,12 GB,GDDR6,RX-67XTYJFDV,,230 W,2,,,
Gigabyte EAGLE GeForce RTX 3060 12GB 12 GB,https://pcpartpicker.com/product/G2RYcf/gigabyte-eagle-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060eagle-12gd,1777 MHz,2,GeForce RTX 3060 12GB,Black,2 Fans,1320 MHz,2,15000 MHz,1 x PCIe 8-pin,G-Sync,2,,PCIe x16,242 mm,Gigabyte,12 GB,GDDR6,GV-N3060EAGLE-12GD,,170 W,2,,,
PowerColor Fighter Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/c3RYcf/powercolor-fighter-radeon-rx-6700-xt-12-gb-video-card-axrx-6700xt-12gbd6-3dh,2581 MHz,2,Radeon RX 6700 XT,Black,2 Fans,2321 MHz,3,16000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,228 mm,PowerColor,12 GB,GDDR6,AXRX 6700XT 12GBD6-3DH; 6700XT 12GBD6-3DH,,230 W,2,,,
PowerColor Fighter Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/c3RYcf/powercolor-fighter-radeon-rx-6700-xt-12-gb-video-card-axrx-6700xt-12gbd6-3dh,2581 MHz,2,Radeon RX 6700 XT,Black,2 Fans,2321 MHz,3,16000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,228 mm,PowerColor,12 GB,GDDR6,AXRX 6700XT 12GBD6-3DH; 6700XT 12GBD6-3DH,,230 W,2,,,
XFX Speedster SWFT 309 Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/RFGbt6/xfx-radeon-rx-6700-xt-12-gb-speedster-swft-309-video-card-rx-67xtyjfdv,2581 MHz,2,Radeon RX 6700 XT,Black,3 Fans,2321 MHz,3,,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,304 mm,XFX,12 GB,GDDR6,RX-67XTYJFDV,,230 W,2,,,
