component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part__,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count
Amd Ryzen 7 9800X3D 4.7 Ghz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,8,96,4,Amd,128,Zen 5,Boxed,100-1000001084WOF,5.2,4.7,AMD Ryzen 7,TRUE,AM5,0,16
Amd Ryzen 7 7700 3.6 Ghz 8-Core,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,8,Raphael,TRUE,0,0,TRUE,TRUE,Radeon,8,32,5,Amd,128,Zen 4,Boxed,100-100000592BOX,5.3,3.6,AMD Ryzen 7,TRUE,AM5,0,16
Amd Ryzen 7 5700X 3.4 Ghz 8-Core,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,8,Vermeer,FALSE,0,0,FALSE,FALSE,nan,4,32,7,Amd,128,Zen 3,Boxed,100-100000926WOF,4.6,3.4,AMD Ryzen 7,TRUE,AM4,0,16
Amd Ryzen 5 7600 3.8 Ghz 6-Core,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,6,Raphael,TRUE,0,0,TRUE,TRUE,Radeon,6,32,5,Amd,128,Zen 4,Boxed,100-100001015BOX,5.1,3.8,AMD Ryzen 5,TRUE,AM5,0,12
Amd Ryzen 7 5800X3D 3.4 Ghz 8-Core,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,8,Vermeer-X,FALSE,0,0,FALSE,FALSE,nan,4,96,7,Amd,128,Zen 3,Boxed,100-100000651WOF,4.5,3.4,AMD Ryzen 7,TRUE,AM4,0,16
Intel Core I7-10700K 3.8 Ghz 8-Core,https://pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k,8,Comet Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,2,16,14,Intel,128,Comet Lake,Boxed,BX8070110700K,5.1,3.8,Intel Core i7,TRUE,LGA1200,0,16
Amd Ryzen 7 3800Xt 3.9 Ghz 8-Core,https://pcpartpicker.com/product/9wfFf7/amd-ryzen-7-3800xt-39-ghz-8-core-processor-100-100000279wof,8,Matisse,FALSE,0,0,FALSE,FALSE,nan,4,32,7,Amd,128,Zen 2,Boxed,100-100000279WOF,4.7,3.9,AMD Ryzen 7,TRUE,AM4,0,16
Amd Ryzen 7 7700X 4.5 Ghz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,8,32,5,Amd,128,Zen 4,Boxed,100-100000591WOF,5.4,4.5,AMD Ryzen 7,TRUE,AM5,0,16
Intel Core I7-7700K 4.2 Ghz Quad-Core,https://pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k,4,Kaby Lake-S,FALSE,0,0,FALSE,FALSE,Intel HD Graphics 630,1,8,14,Intel,128,Kaby Lake,Boxed,BX80677I77700K,4.5,4.2,Intel Core i7,TRUE,LGA1151,0,8
Intel Core I7-8700K 3.7 Ghz 6-Core,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,6,Coffee Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,1.5,12,14,Intel,128,Coffee Lake,Boxed,BX80684I78700K,4.7,3.7,Intel Core i7,TRUE,LGA1151,0,12
Amd Ryzen 7 3700X 3.6 Ghz 8-Core,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,8,Matisse,FALSE,0,0,TRUE,TRUE,nan,4,32,7,Amd,128,Zen 2,Boxed,Ryzen 7 3700X,4.4,3.6,AMD Ryzen 7,TRUE,AM4,0,16
Intel Core I7-10700F 2.9 Ghz 8-Core,https://pcpartpicker.com/product/PCvqqs/intel-core-i7-10700f-29-ghz-8-core-processor-bx8070110700f,8,Comet Lake,FALSE,0,0,TRUE,TRUE,nan,2,16,14,Intel,128,Comet Lake,Boxed,BX8070110700F,4.8,2.9,Intel Core i7,TRUE,LGA1200,0,16
Intel Core I9-12900K 3.2 Ghz 16-Core,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,16,Alder Lake,FALSE,3.9,2.4,FALSE,FALSE,Intel UHD Graphics 770,14,30,10,Intel,128,Alder Lake,Boxed,BX8071512900K,5.2,3.2,Intel Core i9,TRUE,LGA1700,0,24
Amd Ryzen 9 7900 3.6 Ghz 12-Core,https://pcpartpicker.com/product/P3cG3C/amd-ryzen-9-7900-36-ghz-12-core-processor-100-100000590box,12,Raphael,TRUE,0,0,TRUE,TRUE,Radeon,12,64,5,Amd,128,Zen 4,Boxed,100-100000590BOX,5.4,3.6,AMD Ryzen 9,TRUE,AM5,0,24
Intel Core I7-13700K 3.4 Ghz 16-Core,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,16,Raptor Lake,TRUE,4.2,2.5,FALSE,FALSE,Intel UHD Graphics 770,24,30,10,Intel,128,Raptor Lake,Boxed,BX8071513700K,5.4,3.4,Intel Core i7,TRUE,LGA1700,0,24
Amd Ryzen 9 7900X3D 4.4 Ghz 12-Core,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,12,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,12,128,5,Amd,128,Zen 4,Boxed,100-100000909WOF,5.6,4.4,AMD Ryzen 9,TRUE,AM5,0,24
Intel Core Ultra 7 265K 3.9 Ghz 20-Core,https://pcpartpicker.com/product/mBsV3C/intel-core-ultra-7-265k-39-ghz-20-core-processor-bx80768265k,20,Arrow Lake,TRUE,4.6,3.3,FALSE,FALSE,Intel Xe,36,30,3,Intel,128,Arrow Lake,Boxed,BX80768265K,5.5,3.9,Intel Core Ultra 7,FALSE,LGA1851,0,20
Intel Core I5-14500 2.6 Ghz 14-Core,https://pcpartpicker.com/product/KwXV3C/intel-core-i5-14500-26-ghz-14-core-processor-bx8071514500,14,Raptor Lake Refresh,TRUE,3.7,1.9,TRUE,TRUE,Intel UHD Graphics 770,11.5,24,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514500,5,2.6,Intel Core i5,TRUE,LGA1700,0,20
Intel Core I9-14900Kf 3.2 Ghz 24-Core,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf,24,Raptor Lake Refresh,TRUE,4.4,2.4,FALSE,FALSE,nan,32,36,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514900KF,6,3.2,Intel Core i9,TRUE,LGA1700,0,32
Amd Ryzen 7 9700X 3.8 Ghz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,8,32,4,Amd,128,Zen 5,Boxed,100-100001404WOF,5.5,3.8,AMD Ryzen 7,TRUE,AM5,0,16
Amd Ryzen 9 9900X3D 4.4 Ghz 12-Core,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof,12,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,12,128,4,Amd,128,Zen 5,Boxed,100-1000001368WOF,5.5,4.4,AMD Ryzen 9,TRUE,AM5,0,24
Amd Ryzen 9 7950X3D 4.2 Ghz 16-Core,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,16,128,5,Amd,128,Zen 4,Boxed,100-100000908WOF,5.7,4.2,AMD Ryzen 9,TRUE,AM5,0,32
Intel Core Ultra 7 265Kf 3.9 Ghz 20-Core,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf,20,Arrow Lake,FALSE,4.6,3.3,FALSE,FALSE,nan,36,30,3,Intel,128,Arrow Lake,Boxed,BX80768265KF,5.5,3.9,Intel Core Ultra 7,FALSE,LGA1851,0,20
Intel Core I5-10600K 4.1 Ghz 6-Core,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,6,Comet Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,1.5,12,14,Intel,128,Comet Lake,Boxed,BX8070110600K,4.8,4.1,Intel Core i5,TRUE,LGA1200,0,12
Intel Core I5-7400 3 Ghz Quad-Core,https://pcpartpicker.com/product/qnM323/intel-core-i5-7400-30ghz-quad-core-processor-bx80677i57400,4,Kaby Lake-S,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 630,1,6,14,Intel,128,Kaby Lake,Boxed,BX80677I57400,3.5,3,Intel Core i5,FALSE,LGA1151,0,4
Amd Ryzen 5 5600 3.5 Ghz 6-Core,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,Vermeer,FALSE,0,0,TRUE,TRUE,nan,3,32,7,Amd,128,Zen 3,Boxed,100-100000927BOX,4.4,3.5,AMD Ryzen 5,TRUE,AM4,0,12
Amd Ryzen 5 3600 3.6 Ghz 6-Core,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,6,Matisse,FALSE,0,0,TRUE,TRUE,nan,3,32,7,Amd,128,Zen 2,Boxed,Ryzen 5 3600,4.2,3.6,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I9-14900K 3.2 Ghz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,TRUE,4.4,2.4,FALSE,FALSE,Intel UHD Graphics 770,32,36,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514900K,6,3.2,Intel Core i9,TRUE,LGA1700,0,32
Amd Ryzen 5 3500 3.6 Ghz 6-Core,https://pcpartpicker.com/product/ZKqBD3/amd-ryzen-5-3500-36-ghz-6-core-processor-100-000000050,6,Matisse,FALSE,0,0,TRUE,TRUE,nan,3,32,7,Amd,128,Zen 2,Boxed,100-000000050,4.1,3.6,AMD Ryzen 5,FALSE,AM4,0,6
Amd Ryzen 5 7600X3D 4.1 Ghz 6-Core,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,6,96,5,Amd,128,Zen 4,Boxed,100-100001721WOF,4.7,4.1,AMD Ryzen 5,TRUE,AM5,0,12
Amd Ryzen 9 7900X 4.7 Ghz 12-Core,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,Raphael,TRUE,0,0,FALSE,FALSE,Radeon,12,64,5,Amd,128,Zen 4,Boxed,100-100000589WOF,5.6,4.7,AMD Ryzen 9,TRUE,AM5,0,24
Amd Ryzen 5 7500F 3.7 Ghz 6-Core Oem/Tray,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,6,Raphael,TRUE,0,0,FALSE,FALSE,nan,6,32,5,Amd,128,Zen 4,OEM/Tray,100-000000597,5,3.7,AMD Ryzen 5,TRUE,AM5,0,12
Amd Ryzen 7 5700X3D 3 Ghz 8-Core,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,Vermeer-X,FALSE,0,0,FALSE,FALSE,nan,4,96,7,Amd,128,Zen 3,Boxed,100-100001503WOF,4.1,3,AMD Ryzen 7,TRUE,AM4,0,16
Intel Core I7-11700Kf 3.6 Ghz 8-Core,https://pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf,8,Rocket Lake-S,FALSE,0,0,FALSE,FALSE,nan,4,16,14,Intel,128,Rocket Lake,Boxed,BX8070811700KF,5,3.6,Intel Core i7,TRUE,LGA1200,0,16
Amd Ryzen 9 9900X 4.4 Ghz 12-Core,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,12,64,4,Amd,128,Zen 5,Boxed,100-100000662WOF,5.6,4.4,AMD Ryzen 9,TRUE,AM5,0,24
Amd Ryzen 5 3400G 3.7 Ghz Quad-Core,https://pcpartpicker.com/product/XP6qqs/amd-ryzen-5-3400g-37-ghz-quad-core-processor-ryzen-5-3400g,4,Picasso,FALSE,0,0,TRUE,TRUE,Radeon Vega 11,2,4,12,Amd,128,Zen+,Boxed,Ryzen 5 3400G,4.2,3.7,AMD Ryzen 5,TRUE,AM4,0,8
Amd Ryzen 5 7500F 3.7 Ghz 6-Core,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,6,Raphael,TRUE,0,0,TRUE,TRUE,nan,6,32,5,Amd,128,Zen 4,Boxed,100-100000597BOX,5,3.7,AMD Ryzen 5,TRUE,AM5,0,12
Amd Ryzen 9 5950X 3.4 Ghz 16-Core,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,16,Vermeer,FALSE,0,0,FALSE,FALSE,nan,8,64,7,Amd,128,Zen 3,Boxed,100-100000059WOF,4.9,3.4,AMD Ryzen 9,TRUE,AM4,0,32
Amd Ryzen 9 5900X 3.7 Ghz 12-Core,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,12,Vermeer,FALSE,0,0,FALSE,FALSE,nan,6,64,7,Amd,128,Zen 3,Boxed,100-100000061WOF,4.8,3.7,AMD Ryzen 9,TRUE,AM4,0,24
Amd Ryzen 9 9950X 4.3 Ghz 16-Core,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,16,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,16,64,4,Amd,128,Zen 5,Boxed,100-100001277WOF,5.7,4.3,AMD Ryzen 9,TRUE,AM5,0,32
Intel Core I9-9900K 3.6 Ghz 8-Core,https://pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k,8,Coffee Lake Refresh,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,2,16,14,Intel,128,Coffee Lake Refresh,Boxed,BX80684I99900K,5,3.6,Intel Core i9,TRUE,LGA1151,0,16
Amd Ryzen 5 9600X 3.9 Ghz 6-Core,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,6,Granite Ridge,TRUE,0,0,FALSE,FALSE,Radeon,6,32,4,Amd,128,Zen 5,Boxed,100-100001405WOF,5.4,3.9,AMD Ryzen 5,TRUE,AM5,0,12
Intel Core I5-12600Kf 3.7 Ghz 10-Core,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,Alder Lake,FALSE,3.6,2.8,FALSE,FALSE,nan,9.5,20,10,Intel,128,Alder Lake,Boxed,BX8071512600KF,4.9,3.7,Intel Core i5,TRUE,LGA1700,0,16
Intel Core I5-14400F 2.5 Ghz 10-Core,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,10,Raptor Lake Refresh,TRUE,3.5,1.8,TRUE,TRUE,nan,9.5,20,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514400F,4.7,2.5,Intel Core i5,TRUE,LGA1700,0,16
Amd Ryzen 5 8400F 4.2 Ghz 6-Core,https://pcpartpicker.com/product/DpcgXL/amd-ryzen-5-8400f-42-ghz-6-core-processor-100-100001591box,6,Phoenix 2,FALSE,0,0,TRUE,TRUE,nan,6,16,4,Amd,128,Zen 4,Boxed,100-100001591BOX,4.7,4.2,AMD Ryzen 5,TRUE,AM5,0,12
Intel Core I5-14400 2.5 Ghz 10-Core,https://pcpartpicker.com/product/37qrxr/intel-core-i5-14400-25-ghz-10-core-processor-bx8071514400,10,Raptor Lake Refresh,TRUE,3.5,1.8,TRUE,TRUE,Intel UHD Graphics 730,9.5,20,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514400,4.7,2.5,Intel Core i5,TRUE,LGA1700,0,16
Intel Core I7-9700F 3 Ghz 8-Core,https://pcpartpicker.com/product/W4848d/intel-core-i7-9700f-3-ghz-8-core-processor-bx80684i79700f,8,Coffee Lake Refresh,FALSE,0,0,TRUE,TRUE,nan,2,12,14,Intel,128,Coffee Lake Refresh,Boxed,BX80684I79700F,4.7,3,Intel Core i7,FALSE,LGA1151,0,8
Intel Core I7-14700K 3.4 Ghz 20-Core,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,20,Raptor Lake Refresh,TRUE,4.3,2.5,FALSE,FALSE,Intel UHD Graphics 770,28,33,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514700K,5.6,3.4,Intel Core i7,TRUE,LGA1700,0,28
Intel Core I3-9100F 3.6 Ghz Quad-Core,https://pcpartpicker.com/product/YTbwrH/intel-core-i3-9100f-36-ghz-quad-core-processor-bx80684i39100f,4,Coffee Lake Refresh,TRUE,0,0,TRUE,TRUE,nan,1,6,14,Intel,128,Coffee Lake Refresh,Boxed,BX80684i39100F,4.2,3.6,Intel Core i3,FALSE,LGA1151,0,4
Intel Core I7-12700K 3.6 Ghz 12-Core,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,12,Alder Lake,FALSE,3.8,2.7,FALSE,FALSE,Intel UHD Graphics 770,12,25,10,Intel,128,Alder Lake,Boxed,BX8071512700K,5,3.6,Intel Core i7,TRUE,LGA1700,0,20
Intel Core I7-7700 3.6 Ghz Quad-Core,https://pcpartpicker.com/product/9mRFf7/intel-core-i7-7700-36ghz-quad-core-processor-bx80677i77700,4,Kaby Lake-S,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 630,1,8,14,Intel,128,Kaby Lake,Boxed,BX80677I77700,4.2,3.6,Intel Core i7,TRUE,LGA1151,0,8
Intel Core I3-12100F 3.3 Ghz Quad-Core,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,4,Alder Lake,FALSE,0,0,TRUE,TRUE,nan,5,12,10,Intel,128,Alder Lake,Boxed,BX8071512100F,4.3,3.3,Intel Core i3,TRUE,LGA1700,0,8
Intel Core I5-4690 3.5 Ghz Quad-Core,https://pcpartpicker.com/product/r8W9TW/intel-cpu-bx80646i54690,4,Haswell Refresh,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 4600,1,6,22,Intel,128,Haswell Refresh,Boxed,BX80646I54690,3.9,3.5,Intel Core i5,FALSE,LGA1150,0,4
Intel Core I5-13400F 2.5 Ghz 10-Core,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,10,Raptor Lake,FALSE,3.3,1.8,TRUE,TRUE,nan,9.5,20,10,Intel,128,Raptor Lake,Boxed,BX8071513400F,4.6,2.5,Intel Core i5,TRUE,LGA1700,0,16
Amd Ryzen 5 5600Gt 3.6 Ghz 6-Core,https://pcpartpicker.com/product/7XGhP6/amd-ryzen-5-5600gt-36-ghz-6-core-processor-100-100001488box,6,Cezanne,FALSE,0,0,TRUE,TRUE,Radeon Vega 7,3,16,7,Amd,128,Zen 3,Boxed,100-100001488BOX,4.6,3.6,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I9-14900F 2 Ghz 24-Core,https://pcpartpicker.com/product/RNjRsY/intel-core-i9-14900f-2-ghz-24-core-processor-bx8071514900f,24,Raptor Lake Refresh,TRUE,4.3,1.5,TRUE,TRUE,nan,32,36,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514900F,5.8,2,Intel Core i9,TRUE,LGA1700,0,32
Amd Ryzen 5 4500 3.6 Ghz 6-Core,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,6,Renoir-X,FALSE,0,0,TRUE,TRUE,nan,3,8,7,Amd,128,Zen 2,Boxed,100-100000644BOX,4.1,3.6,AMD Ryzen 5,TRUE,AM4,0,12
Amd Ryzen 5 1600 (14Nm) 3.2 Ghz 6-Core,https://pcpartpicker.com/product/mV98TW/amd-ryzen-5-1600-32ghz-6-core-processor-yd1600bbaebox,6,Summit Ridge,FALSE,0,0,TRUE,TRUE,nan,3,16,14,Amd,128,Zen,Boxed,YD1600BBAEBOX,3.6,3.2,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I3-8350K 4 Ghz Quad-Core,https://pcpartpicker.com/product/fCs8TW/intel-core-i3-8350k-40ghz-quad-core-processor-bx80684i38350k,4,Coffee Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,1,8,14,Intel,128,Coffee Lake,Boxed,BX80684I38350K,0,4,Intel Core i3,FALSE,LGA1151,0,4
Intel Core I7-13700Kf 3.4 Ghz 16-Core,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,16,Raptor Lake,FALSE,4.2,2.5,FALSE,FALSE,nan,24,30,10,Intel,128,Raptor Lake,Boxed,BX8071513700KF,5.4,3.4,Intel Core i7,TRUE,LGA1700,0,24
Amd A10-7870K 3.9 Ghz Quad-Core,https://pcpartpicker.com/product/CjyxFT/amd-cpu-ad787kxdjcbox,4,Godavari,FALSE,0,0,TRUE,TRUE,Radeon R7 (on-die),4,0,28,Amd,128,Steamroller,Boxed,AD787KXDJCBOX,4.1,3.9,AMD A10,FALSE,FM2+,0,4
Intel Core I3-3220T 2.8 Ghz Dual-Core,https://pcpartpicker.com/product/yYsKHx/intel-cpu-bx80637i33220t,2,Ivy Bridge,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 2500,0.5,3,22,Intel,128,Ivy Bridge,Boxed,BX80637i33220T,0,2.8,Intel Core i3,TRUE,LGA1155,0,4
Intel Core I7-9700K 3.6 Ghz 8-Core,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,8,Coffee Lake Refresh,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,2,12,14,Intel,128,Coffee Lake Refresh,Boxed,BX80684I79700K,4.9,3.6,Intel Core i7,FALSE,LGA1151,0,8
Intel Core I5-13600Kf 3.5 Ghz 14-Core,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,14,Raptor Lake,FALSE,3.9,2.6,FALSE,FALSE,nan,20,24,10,Intel,128,Raptor Lake,Boxed,BX8071513600KF,5.1,3.5,Intel Core i5,TRUE,LGA1700,0,20
Intel Core I7-11700K 3.6 Ghz 8-Core,https://pcpartpicker.com/product/VW3gXL/intel-core-i7-11700k-36-ghz-8-core-processor-bx8070811700k,8,Rocket Lake-S,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 750,4,16,14,Intel,128,Rocket Lake,Boxed,BX8070811700K,5,3.6,Intel Core i7,TRUE,LGA1200,0,16
Intel Core I5-13600K 3.5 Ghz 14-Core,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,14,Raptor Lake,TRUE,3.9,2.6,FALSE,FALSE,Intel UHD Graphics 770,20,24,10,Intel,128,Raptor Lake,Boxed,BX8071513600K,5.1,3.5,Intel Core i5,TRUE,LGA1700,0,20
Amd Ryzen 5 5600G 3.9 Ghz 6-Core,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,6,Cezanne,FALSE,0,0,TRUE,TRUE,Radeon Vega 7,3,16,7,Amd,128,Zen 3,Boxed,100-100000252BOX,4.4,3.9,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I5-14600K 3.5 Ghz 14-Core,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,14,Raptor Lake Refresh,TRUE,4,2.6,FALSE,FALSE,Intel UHD Graphics 770,20,24,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514600K,5.3,3.5,Intel Core i5,TRUE,LGA1700,0,20
Intel Core I9-10850K 3.6 Ghz 10-Core,https://pcpartpicker.com/product/nGFKHx/intel-core-i9-10850k-36-ghz-10-core-processor-bx8070110850k,10,Comet Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,2.5,20,14,Intel,128,Comet Lake,Boxed,BX8070110850K,5.2,3.6,Intel Core i9,TRUE,LGA1200,0,20
Amd Ryzen 9 3950X 3.5 Ghz 16-Core,https://pcpartpicker.com/product/t7CFf7/amd-ryzen-9-3950x-35-ghz-16-core-processor-100-100000051wof,16,Matisse,FALSE,0,0,FALSE,FALSE,nan,8,64,7,Amd,128,Zen 2,Boxed,100-100000051WOF,4.7,3.5,AMD Ryzen 9,TRUE,AM4,0,32
Amd Ryzen 7 2700X 3.7 Ghz 8-Core,https://pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox,8,Pinnacle Ridge,FALSE,0,0,TRUE,TRUE,nan,4,16,12,Amd,128,Zen+,Boxed,YD270XBGAFBOX,4.3,3.7,AMD Ryzen 7,TRUE,AM4,0,16
Intel Core I5-7500 3.4 Ghz Quad-Core,https://pcpartpicker.com/product/QbGj4D/intel-core-i5-7500-34ghz-quad-core-processor-bx80677i57500,4,Kaby Lake-S,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 630,1,6,14,Intel,128,Kaby Lake,Boxed,BX80677I57500,3.8,3.4,Intel Core i5,FALSE,LGA1151,0,4
Intel Core I5-3450 3.1 Ghz Quad-Core,https://pcpartpicker.com/product/kxzv6h/intel-cpu-bx80637i53450,4,Ivy Bridge,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 2500,1,6,22,Intel,128,Ivy Bridge,Boxed,BX80637I53450,0,3.1,Intel Core i5,FALSE,LGA1155,0,4
Amd Ryzen 5 1600X 3.6 Ghz 6-Core,https://pcpartpicker.com/product/8hwqqs/amd-ryzen-5-1600x-36ghz-6-core-processor-yd160xbcaewof,6,Summit Ridge,FALSE,0,0,FALSE,FALSE,nan,3,16,14,Amd,128,Zen,Boxed,YD160XBCAEWOF,4,3.6,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I7-6700K 4 Ghz Quad-Core,https://pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,4,Skylake-S,FALSE,0,0,FALSE,FALSE,Intel HD Graphics 530,1,8,14,Intel,128,Skylake,Boxed,BX80662I76700K,4.2,4,Intel Core i7,TRUE,LGA1151,0,8
