component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part__,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count
Intel Core I5-7600K 3.8 Ghz Quad-Core,https://pcpartpicker.com/product/dQM323/intel-core-i5-7600k-38ghz-quad-core-processor-bx80677i57600k,4,Kaby Lake-S,FALSE,0,0,FALSE,FALSE,Intel HD Graphics 630,1,6,14,Intel,128,Kaby Lake,Boxed,BX80677I57600K,4.2,3.8,Intel Core i5,FALSE,LGA1151,0,4
Intel Core I5-12600K 3.7 Ghz 10-Core,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,10,Alder Lake,FALSE,3.6,2.8,FALSE,FALSE,Intel UHD Graphics 770,9.5,20,10,Intel,128,Alder Lake,Boxed,BX8071512600K,4.9,3.7,Intel Core i5,TRUE,LGA1700,0,16
Intel Core I3-10100 3.6 Ghz Quad-Core,https://pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100,4,Comet Lake,FALSE,0,0,TRUE,TRUE,Intel UHD Graphics 630,1,6,14,Intel,128,Comet Lake,Boxed,BX8070110100,4.3,3.6,Intel Core i3,TRUE,LGA1200,0,8
Amd Ryzen 3 2200G 3.5 Ghz Quad-Core,https://pcpartpicker.com/product/RkJtt6/amd-ryzen-3-2200g-35ghz-quad-core-processor-yd2200c5fbbox,4,Raven Ridge,FALSE,0,0,TRUE,TRUE,Radeon Vega 8,2,4,14,Amd,128,Zen,Boxed,YD2200C5FBBOX,3.7,3.5,AMD Ryzen 3,FALSE,AM4,0,4
Amd Ryzen 5 5600Xt 3.7 Ghz 6-Core,https://pcpartpicker.com/product/GY6NnQ/amd-ryzen-5-5600xt-37-ghz-6-core-processor-100-100001585box,6,Vermeer,TRUE,0,0,TRUE,TRUE,nan,3,32,7,Amd,128,Zen 3,Boxed,100-100001585BOX,4.7,3.7,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I7-4790K 4 Ghz Quad-Core,https://pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,4,Haswell Refresh,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 4600,1,8,22,Intel,128,Haswell Refresh,Boxed,BX80646I74790K,4.4,4,Intel Core i7,TRUE,LGA1150,0,8
Intel Core I5-4460 3.2 Ghz Quad-Core,https://pcpartpicker.com/product/F63RsY/intel-cpu-bx80646i54460,4,Haswell Refresh,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 4600,1,6,22,Intel,128,Haswell Refresh,Boxed,BX80646I54460,3.4,3.2,Intel Core i5,FALSE,LGA1150,0,4
Intel Core I9-12900Kf 3.2 Ghz 16-Core,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,16,Alder Lake,FALSE,3.9,2.4,FALSE,FALSE,nan,14,30,10,Intel,128,Alder Lake,Boxed,BX8071512900KF,5.2,3.2,Intel Core i9,TRUE,LGA1700,0,24
Intel Core I7-8700K 3.7 Ghz 6-Core Oem/Tray,https://pcpartpicker.com/product/cjPzK8/intel-core-i7-8700k-37ghz-6-core-processor-cm8068403358220,6,Coffee Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,1.5,12,14,Intel,128,Coffee Lake,OEM/Tray,CM8068403358220,4.7,3.7,Intel Core i7,TRUE,LGA1151,0,12
Intel Core I5-6600K 3.5 Ghz Quad-Core,https://pcpartpicker.com/product/gx648d/intel-cpu-bx80662i56600k,4,Skylake-S,FALSE,0,0,FALSE,FALSE,Intel HD Graphics 530,1,6,14,Intel,128,Skylake,Boxed,BX80662I56600K,3.9,3.5,Intel Core i5,FALSE,LGA1151,0,4
Amd Ryzen 5 3600X 3.8 Ghz 6-Core,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box,6,Matisse,FALSE,0,0,TRUE,TRUE,nan,3,32,7,Amd,128,Zen 2,Boxed,Ryzen 5 3600X,4.4,3.8,AMD Ryzen 5,TRUE,AM4,0,12
Intel Core I7-6800K 3.4 Ghz 6-Core,https://pcpartpicker.com/product/Td98TW/intel-cpu-bx80671i76800k,6,Broadwell-E,FALSE,0,0,FALSE,FALSE,nan,1.5,15,14,Intel,128,Broadwell,Boxed,BX80671I76800K,3.6,3.4,Intel Core i7,TRUE,LGA2011-3,0,12
Intel Core I5-6500 3.2 Ghz Quad-Core,https://pcpartpicker.com/product/xwhj4D/intel-cpu-bx80662i56500,4,Skylake-S,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 530,1,6,14,Intel,128,Skylake,Boxed,BX80662I56500,3.6,3.2,Intel Core i5,FALSE,LGA1151,0,4
Intel Core I7-4770 3.4 Ghz Quad-Core,https://pcpartpicker.com/product/sCNp99/intel-cpu-bx80646i74770,4,Haswell,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 4600,1,8,22,Intel,128,Haswell,Boxed,BX80646I74770,3.9,3.4,Intel Core i7,TRUE,LGA1150,0,8
Intel Xeon E3-1230 V2 3.3 Ghz Quad-Core,https://pcpartpicker.com/product/VQrG3C/intel-cpu-bx80637e31230v2,4,Ivy Bridge,TRUE,0,0,TRUE,TRUE,nan,1,8,22,Intel,128,Ivy Bridge,Boxed,BX80637E31230V2,0,3.3,Intel Xeon E3,TRUE,LGA1155,0,8
Intel Core I5-4690K 3.5 Ghz Quad-Core,https://pcpartpicker.com/product/Tvzv6h/intel-cpu-bx80646i54690k,4,Haswell Refresh,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 4600,1,6,22,Intel,128,Haswell Refresh,Boxed,BX80646I54690K,3.9,3.5,Intel Core i5,FALSE,LGA1150,0,4
Intel Core I5-4590 3.3 Ghz Quad-Core,https://pcpartpicker.com/product/7bNp99/intel-cpu-bx80646i54590,4,Haswell Refresh,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 4600,1,6,22,Intel,128,Haswell Refresh,Boxed,BX80646I54590,3.7,3.3,Intel Core i5,FALSE,LGA1150,0,4
Amd Ryzen 7 3800X 3.9 Ghz 8-Core,https://pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,8,Matisse,FALSE,0,0,TRUE,TRUE,nan,4,32,7,Amd,128,Zen 2,Boxed,Ryzen 7 3800X,4.5,3.9,AMD Ryzen 7,TRUE,AM4,0,16
