component_name,component_link,AMP_Molex_4pin_Connectors,ATX_4pin_Connectors,Color,EPS_8pin_Connectors,Efficiency_Rating,Fanless,Inferred_,Length,Manufacturer,Modular,PCIe_12pin_Connectors,PCIe_16pin_12VHPWR_12V2x6_Connectors,PCIe_62pin_Connectors,PCIe_6pin_Connectors,PCIe_8pin_Connectors,Part_#_#,SATA_Connectors,Type,Wattage,
be quiet! Straight Power 12 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/NyxxFT/be-quiet-straight-power-12-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bn338,2,0,Black,2,80+ Platinum,No,,160 mm,be quiet!,Full,0,1,4,0,0,BN338; BN733; BN743; BN747; BN739; BN516,9,ATX,1000 W,
"FSP Group Hydro Ti PRO,Gen 5 1000 W 80+ Titanium Certified Fully Modular ATX",https://pcpartpicker.com/product/3yKscf/fsp-group-hydro-ti-progen-5-1000-w-80-titanium-certified-fully-modular-atx-power-supply-hti-1000mgen5,4,0,Black,2,80+ Titanium,No,,150 mm,FSP Group,Full,0,1,5,0,0,"HTI-1000M,Gen5; PPA10A3800",12,ATX,1000 W,
MSI MAG A650BN 650 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,2,0,Black,1,80+ Bronze,No,,140 mm,MSI,No,0,0,2,0,0,MAG A650BN; 306-7ZP2B11-CE0,5,ATX,650 W,
SeaSonic Focus GX V4 ATX 3 (2024) 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/ZNXV3C/seasonic-focus-gx-atx-30-v4-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850-v4-white,3,0,White,2,80+ Gold,No,,140 mm,SeaSonic,Full,0,1,3,0,0,FOCUS-GX-850-V4-WHITE; Focus V4 GX-850 White,8,ATX,850 W,
MSI MEG Ai1300P PCIE5 1300 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/JDGbt6/msi-meg-ai1300p-pcie5-1300-w-80-platinum-certified-fully-modular-atx-power-supply-meg-ai1300p-pcie5,4,0,Black / Copper,2,80+ Platinum,No,,160 mm,MSI,Full,0,1,8,0,0,MEG Ai1300P PCIE5; 306-7ZP4A11-CE0,16,ATX,1300 W,
Super Flower Leadex Platinum SE 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/DMbTwP/super-flower-leadex-platinum-se-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14mp-v2,5,0,Black,2,80+ Platinum,No,,180 mm,Super Flower,Full,0,0,6,2,0,SF-1000F14MP V2,10,ATX,1000 W,
Thermaltake Toughpower GF3 TT Premium 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/phVmP6/thermaltake-toughpower-gf3-tt-premium-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-4,4,0,Black,2,80+ Gold,No,,160 mm,Thermaltake,Full,0,1,4,0,0,PS-TPD-0850FNFAGU-4; PS-TPD-0850FNFAGE-4; PS-TPD-0850FNFAGA-4,12,ATX,850 W,
Thermaltake Smart BM3 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/hDQKHx/thermaltake-smart-bm3-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-spd-0750mnfabu-3,7,0,Black,2,80+ Bronze,No,,140 mm,Thermaltake,Semi,0,1,4,0,0,PS-SPD-0750MNFABU-3; PS-SPD-0750MNFABE-3,6,ATX,750 W,
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,4,0,White,2,80+ Platinum,No,,182 mm,Lian Li,Full,0,1,4,0,0,EG1000 White,12,ATX,1000 W,
MSI MPG A1000GS PCIE5 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/2kXMnQ/msi-mpg-a1000gs-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000gs-pcie5,4,0,Black,2,80+ Gold,No,,150 mm,MSI,Full,0,2,1,0,0,MPG A1000GS PCIE5,8,ATX,1000 W,
MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,4,0,Black,2,80+ Gold,No,,140 mm,MSI,Full,0,1,4,0,0,MAG A850GL PCIE5; 306-7ZP8A11-CE0; 306-7ZP8A15-CE0,8,ATX,850 W,
FSP Group HEXA 85+ 350 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/6Dx2FT/fsp-group-hexa-85-350w-80-bronze-certified-atx-power-supply-hexa-85-350w,2,0,Black,1,80+ Bronze,No,,140 mm,FSP Group,No,0,0,0,1,0,HEXA 85+ 350W,4,ATX,350 W,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
SeaSonic Focus GX V4 ATX 3 (2024) 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/ZNXV3C/seasonic-focus-gx-atx-30-v4-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850-v4-white,3,0,White,2,80+ Gold,No,,140 mm,SeaSonic,Full,0,1,3,0,0,FOCUS-GX-850-V4-WHITE; Focus V4 GX-850 White,8,ATX,850 W,
MSI MEG Ai1300P PCIE5 1300 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/JDGbt6/msi-meg-ai1300p-pcie5-1300-w-80-platinum-certified-fully-modular-atx-power-supply-meg-ai1300p-pcie5,4,0,Black / Copper,2,80+ Platinum,No,,160 mm,MSI,Full,0,1,8,0,0,MEG Ai1300P PCIE5; 306-7ZP4A11-CE0,16,ATX,1300 W,
Super Flower Leadex Platinum SE 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/DMbTwP/super-flower-leadex-platinum-se-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14mp-v2,5,0,Black,2,80+ Platinum,No,,180 mm,Super Flower,Full,0,0,6,2,0,SF-1000F14MP V2,10,ATX,1000 W,
Thermaltake Toughpower GF3 TT Premium 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/phVmP6/thermaltake-toughpower-gf3-tt-premium-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-4,4,0,Black,2,80+ Gold,No,,160 mm,Thermaltake,Full,0,1,4,0,0,PS-TPD-0850FNFAGU-4; PS-TPD-0850FNFAGE-4; PS-TPD-0850FNFAGA-4,12,ATX,850 W,
Thermaltake Smart BM3 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/hDQKHx/thermaltake-smart-bm3-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-spd-0750mnfabu-3,7,0,Black,2,80+ Bronze,No,,140 mm,Thermaltake,Semi,0,1,4,0,0,PS-SPD-0750MNFABU-3; PS-SPD-0750MNFABE-3,6,ATX,750 W,
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,4,0,White,2,80+ Platinum,No,,182 mm,Lian Li,Full,0,1,4,0,0,EG1000 White,12,ATX,1000 W,
FSP Group HEXA 85+ 350 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/6Dx2FT/fsp-group-hexa-85-350w-80-bronze-certified-atx-power-supply-hexa-85-350w,2,0,Black,1,80+ Bronze,No,,140 mm,FSP Group,No,0,0,0,1,0,HEXA 85+ 350W,4,ATX,350 W,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
FSP Group VITA-1000GM 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/VktLrH/fsp-group-vita-1000gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-vita-1000gm,4,0,Black,2,80+ Gold,No,,140 mm,FSP Group,Full,0,1,4,0,0,VITA-1000GM,8,ATX,1000 W,
Asus ROG LOKI 1000 W 80+ Platinum Certified Fully Modular SFX,https://pcpartpicker.com/product/tmYmP6/asus-loki-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-90ye00n1-b0na00,4,0,Silver / Black,2,80+ Platinum,No,,125 mm,Asus,Full,0,1,3,0,0,90YE00N1-B0NA00; ROG-LOKI-1000P-SFX-L-GAMING,6,SFX,1000 W,
Apevia Prestige 600 W 80+ Gold Certified ATX,https://pcpartpicker.com/product/xLtKHx/apevia-prestige-600-w-80-gold-certified-atx-power-supply-atx-rp600w,4,0,Black,1,80+ Gold,No,,160 mm,Apevia,No,0,0,2,0,0,ATX-RP600W,4,ATX,600 W,
Enermax Revolution D.F. X 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/LNyH99/enermax-revolution-df-x-850-w-80-gold-certified-fully-modular-atx-power-supply-ert850ewt,6,0,Black,2,80+ Gold,No,,140 mm,Enermax,Full,0,2,4,0,0,ERT850EWT,12,ATX,850 W,
Enermax Revolution D.F. X 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/LNyH99/enermax-revolution-df-x-850-w-80-gold-certified-fully-modular-atx-power-supply-ert850ewt,6,0,Black,2,80+ Gold,No,,140 mm,Enermax,Full,0,2,4,0,0,ERT850EWT,12,ATX,850 W,
Enermax Revolution D.F. X 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/LNyH99/enermax-revolution-df-x-850-w-80-gold-certified-fully-modular-atx-power-supply-ert850ewt,6,0,Black,2,80+ Gold,No,,140 mm,Enermax,Full,0,2,4,0,0,ERT850EWT,12,ATX,850 W,
Thermaltake Toughpower GF3 TT Premium 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/HXjBD3/thermaltake-toughpower-gf3-tt-premium-1000-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1000fnfagu-4,4,0,Black,2,80+ Gold,No,,160 mm,Thermaltake,Full,0,1,4,0,0,PS-TPD-1000FNFAGU-4; PS-TPD-1000FNFAGE-4; PS-TPD-1000FNFAGA-4,12,ATX,1000 W,
Asus ROG Strix 650 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/DRVG3C/asus-rog-strix-650-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-650g,3,0,Black / Red,2,80+ Gold,No,,160 mm,Asus,Full,0,0,4,0,0,ROG-STRIX-650G; 90YE00A1-B0NA00; 90YE00A1-B0AA00; 90YE00A1-B0EA00,8,ATX,650 W,
