"component_type","component_name","component_link","Color","Connection_Type","Hand_Orientation","Manufacturer","Maximum_DPI","Part_#_#","Tracking_Method"
"Mouse","Redragon COBRA M711 Wired Optical","https://pcpartpicker.com/product/dZQG3C/redragon-cobra-m711-wired-optical-mouse-cobra-m711","Black / Multicolor","Wired","Right","Redragon","10000.0","COBRA M711; M711","Optical"
"","Razer Viper V3 Pro Wireless/Wired Optical","https://pcpartpicker.com/product/sDgrxr/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120100-r3u1","Black","Wired; Wireless","Right","Razer","35000.0","RZ01-05120100-R3U1; RZ01-05120100-R3A1; RZ01-05120100-R3G1","Optical"
"","Logitech G305 LIGHTSPEED Wireless/Wired Optical","https://pcpartpicker.com/product/Yrw7YJ/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005280","Black","Wired; Wireless","Right","Logitech","12000.0","910-005280; 910-005283; 910-005282","Optical"
"","Logitech G502 X Plus Wired/Wired/Wireless Optical","https://pcpartpicker.com/product/J86p99/logitech-g502-x-plus-wiredwiredwireless-optical-mouse-910-006160","Black","Wired; Wired; Wireless","Right","Logitech","25600.0","910-006160","Optical"
"","Razer Viper V3 Pro Wireless/Wired Optical","https://pcpartpicker.com/product/yYFmP6/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120200-r3u1","White","Wired; Wireless","Right","Razer","35000.0","RZ01-05120200-R3U1; RZ01-05120200-R3A1; RZ01-05120200-R3G1","Optical"
"","Logitech G502 Hero Wired Optical","https://pcpartpicker.com/product/7RbwrH/logitech-g502-hero-wired-optical-mouse-910-005469","Black","Wired","Right","Logitech","25600.0","910-005469; 910-005470; 910-005471","Optical"
"","Logitech PRO X Superlight 2 Wireless/Wired Optical","https://pcpartpicker.com/product/FTjRsY/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006636","White","Wired; Wireless","Right","Logitech","32000.0","910-006636; 910-006640; 910-006639","Optical"
"","Logitech PRO X Superlight 2 Wireless/Wired Optical","https://pcpartpicker.com/product/FTjRsY/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006636","White","Wired; Wireless","Right","Logitech","32000.0","910-006636; 910-006640; 910-006639","Optical"
"","Pulsar X2V2 Bluetooth/Wireless/Wired Optical","https://pcpartpicker.com/product/gqyH99/pulsar-x2v2-bluetoothwirelesswired-optical-mouse-px2221","Black","Wired; Wireless; Bluetooth Wireless","Right","Pulsar","26000.0","PX2221","Optical"
"","Logitech PRO X Superlight 2 Wireless/Wired Optical","https://pcpartpicker.com/product/QzHqqs/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006628","Black","Wired; Wireless","Right","Logitech","32000.0","910-006628; 910-006631; 910-006632","Optical"
"","Logitech G705 Wireless/Wired/Bluetooth Optical","https://pcpartpicker.com/product/jJJgXL/logitech-g705-wirelesswiredbluetooth-optical-mouse-910-006365","White","Wired; Wireless; Bluetooth Wireless","Right","Logitech","8200.0","910-006365","Optical"
"","Logitech M170 Wireless/Wired Optical","https://pcpartpicker.com/product/vWBzK8/logitech-m170-wirelesswired-optical-mouse-910-006864","White","Wired; Wireless","Both","Logitech","1000.0","910-006864","Optical"
"","Zowie FK1 Wired Optical","https://pcpartpicker.com/product/zhsKHx/zowie-fk1-wired-optical-mouse-fk1","Black / Yellow","Wired","Both","Zowie","2300.0","FK1; FK1-B; 9H.N04BB.A2E","Optical"
"","Logitech G Pro Wireless/Wired Optical","https://pcpartpicker.com/product/vJ448d/logitech-g-pro-wirelesswired-optical-mouse-910-005270","Black","Wired; Wireless","Both","Logitech","25600.0","910-005270; 910-005272; 910-005271","Optical"
"","Glorious Model O- Wired/Wireless Optical","https://pcpartpicker.com/product/yhjRsY/glorious-model-o-wiredwireless-optical-mouse-glo-ms-omw-mb","Black","Wired; Wireless","Right","Glorious","19000.0","GLO-MS-OMW-MB","Optical"
"","Logitech G502 X Wireless/Wired/Wired Optical","https://pcpartpicker.com/product/QQpzK8/logitech-g502-x-wirelesswiredwired-optical-mouse-910-006187","White","Wired; Wired; Wireless","Right","Logitech","25600.0","910-006187","Optical"
